4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.83e-23
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.05e-23
2Z73_A	N/A	4.75e-23
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.00e-18
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.39e-15
3C9M_A	Chain A, Rhodopsin [unidentified]	1.43e-15
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.44e-15
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.49e-15
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.50e-15
5DYS_A	Chain A, Rhodopsin [Bos taurus]	1.85e-15
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.97e-15
1F88_A	N/A	2.02e-15
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.03e-15
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.20e-15
6FKB_A	Chain A, Rhodopsin [Bos taurus]	2.21e-15
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.51e-15
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	6.11e-13
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.36e-12
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.43e-12
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.52e-12
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.77e-08
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.90e-07
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	6.96e-07
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.42e-06
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	6.05e-06
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.14e-06
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.15e-05
3PDS_A	Chain A, Fusion protein Beta-2 adrenergic receptor/Lysozyme [Homo sapiens]	4.74e-05
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.97e-05
