4BEY_A	Chain A, Rhodopsin [Bos taurus]	1.16e-23
1F88_A	N/A	1.20e-23
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.22e-23
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.30e-23
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.30e-23
3C9M_A	Chain A, Rhodopsin [unidentified]	1.44e-23
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.46e-23
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.82e-23
5DYS_A	Chain A, Rhodopsin [Bos taurus]	4.45e-23
6FUF_A	Chain A, Rhodopsin [Bos taurus]	7.76e-23
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.17e-22
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.19e-22
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	8.86e-22
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.05e-21
2Z73_A	N/A	2.05e-21
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.45e-19
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.19e-18
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.25e-18
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.26e-18
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.35e-16
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	8.56e-13
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	1.03e-12
6DO1_A	Chain A, Type-1 angiotensin II receptor,Soluble cytochrome b562 BRIL fusion protein [Homo sapiens]	5.92e-11
5XSZ_A	Chain A, Lysophosphatidic acid receptor 6a,Endolysin,Lysophosphatidic acid receptor 6a [Danio rerio]	1.57e-10
5VBL_B	Chain B, Apelin receptor,Rubredoxin,Apelin receptor Chimera [Homo sapiens]	1.14e-09
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.41e-08
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	5.40e-08
5LWE_A	Chain A, C-C chemokine receptor type 9 [Homo sapiens]	1.88e-07
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.12e-07
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.34e-07
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.38e-07
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	3.69e-07
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.11e-06
6AKX_A	Chain A, C-C chemokine receptor type 5,Rubredoxin,C-C chemokine receptor type 5 [Homo sapiens]	1.29e-06
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.33e-06
6GPX_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	1.40e-06
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	1.66e-06
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.85e-06
4MBS_A	Chain A, Chimera protein of C-C chemokine receptor type 5 and Rubredoxin [Homo sapiens]	1.85e-06
5UIW_A	Chain A, C-C chemokine receptor type 5,Rubredoxin chimera [Homo sapiens]	2.18e-06
6GPS_A	Chain A, C-C chemokine receptor type 2,Rubredoxin,C-C chemokine receptor type 2 [Homo sapiens]	2.24e-06
5ZKQ_A	Chain A, Platelet-activating factor receptor,Endolysin,Endolysin,Platelet-activating factor receptor [Homo sapiens]	2.44e-05
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	3.15e-05
5GLH_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	3.71e-05
5GLI_A	Chain A, Endothelin Receptor Subtype-B [Homo sapiens]	3.75e-05
5XPR_A	Chain A, Endothelin B receptor,Endolysin,Endothelin B receptor [Homo sapiens]	4.09e-05
5ZKP_A	Chain A, Platelet-activating factor receptor,Flavodoxin,Platelet-activating factor receptor [Homo sapiens]	4.25e-05
6LRY_A	Chain A, Endothelin receptor type B,Endolysin,Endothelin receptor type B [Homo sapiens]	4.33e-05
