4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	4.12e-50
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	4.99e-50
2Z73_A	N/A	2.81e-49
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.43e-42
4BEY_A	Chain A, Rhodopsin [Bos taurus]	9.51e-24
5DYS_A	Chain A, Rhodopsin [Bos taurus]	8.15e-23
6FK6_A	Chain A, Rhodopsin [Bos taurus]	9.38e-23
2X72_A	Chain A, Rhodopsin [Bos taurus]	1.02e-22
3C9M_A	Chain A, Rhodopsin [unidentified]	1.06e-22
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.08e-22
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.08e-22
1F88_A	N/A	1.08e-22
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.10e-22
6FUF_A	Chain A, Rhodopsin [Bos taurus]	1.46e-22
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.56e-22
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.58e-22
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.17e-18
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.70e-18
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.80e-18
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	4.02e-18
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	7.82e-13
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	7.85e-13
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.42e-12
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	4.82e-12
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	5.04e-12
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.19e-11
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.40e-11
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.44e-11
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	1.58e-11
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.67e-11
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	1.91e-11
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	2.11e-11
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	2.21e-11
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.37e-11
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.45e-11
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	5.10e-11
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	7.67e-11
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	8.16e-11
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.29e-10
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.04e-10
4BVN_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.98e-10
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	9.59e-10
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	9.97e-10
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	6.94e-09
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	7.89e-09
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	7.18e-08
3PDS_A	Chain A, Fusion protein Beta-2 adrenergic receptor/Lysozyme [Homo sapiens]	1.44e-07
2RH1_A	Chain A, beta-2-adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	1.54e-07
3P0G_A	Chain A, Beta-2 adrenergic receptor, Lysozyme [Escherichia virus T4]	1.57e-07
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.65e-07
6E67_A	Chain A, Beta-2 adrenergic receptor,Endolysin,Guanine nucleotide-binding protein G(s) subunit alpha isoforms short,Beta-2 adrenergic receptor chimera [Homo sapiens]	3.25e-07
6PRZ_A	Chain A, Fusion protein of Beta-2 adrenergic receptor and T4 Lysozyme [Homo sapiens]	4.45e-07
3D4S_A	Chain A, Beta-2 adrenergic receptor/T4-lysozyme chimera [Homo sapiens]	4.49e-07
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	5.74e-07
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	5.96e-07
6MEO_B	Chain B, C-C chemokine receptor type 5 [Homo sapiens]	6.26e-07
4XNV_A	Chain A, P2Y purinoceptor 1, Rubredoxin, P2Y purinoceptor 1 [Homo sapiens]	7.05e-07
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.44e-06
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.46e-06
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	3.02e-06
4MBS_A	Chain A, Chimera protein of C-C chemokine receptor type 5 and Rubredoxin [Homo sapiens]	5.06e-06
6AKX_A	Chain A, C-C chemokine receptor type 5,Rubredoxin,C-C chemokine receptor type 5 [Homo sapiens]	7.80e-06
6N4B_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	9.61e-06
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	1.08e-05
5UIW_A	Chain A, C-C chemokine receptor type 5,Rubredoxin chimera [Homo sapiens]	1.85e-05
6KPG_R	Chain R, Cannabinoid receptor 1 [Homo sapiens]	1.89e-05
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	2.26e-05
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	2.32e-05
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	2.84e-05
5ZHP_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	2.94e-05
4U14_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	2.96e-05
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	3.02e-05
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	3.10e-05
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	3.17e-05
