1F88_A	N/A	2.89e-31
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	2.94e-31
5DYS_A	Chain A, Rhodopsin [Bos taurus]	3.96e-31
2X72_A	Chain A, Rhodopsin [Bos taurus]	9.17e-31
3C9M_A	Chain A, Rhodopsin [unidentified]	1.03e-30
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.04e-30
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.05e-30
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.17e-30
6QNO_R	Chain R, Rhodopsin [Bos taurus]	8.13e-30
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	8.27e-30
6FUF_A	Chain A, Rhodopsin [Bos taurus]	9.17e-30
4BEY_A	Chain A, Rhodopsin [Bos taurus]	9.84e-30
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	3.55e-26
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.44e-26
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	9.71e-26
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	9.89e-26
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.03e-24
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.13e-24
2Z73_A	N/A	2.45e-24
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.83e-24
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	8.64e-13
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	9.59e-13
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.08e-12
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	2.01e-12
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.61e-12
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	8.01e-09
6LI3_R	Chain R, G-protein coupled receptor 52 [Homo sapiens]	1.86e-07
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	2.51e-07
5IU4_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.57e-07
5MZJ_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	2.58e-07
6AQF_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	3.02e-07
6PS7_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	3.97e-07
4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]	4.26e-07
6JZH_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	4.70e-07
5UIG_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	5.07e-07
3EML_A	Chain A, Human Adenosine A2A receptor/T4 lysozyme chimera [Homo sapiens]	6.07e-07
5WF6_A	Chain A, Human A2a adenosine receptor T4L chimera [Homo sapiens]	8.07e-07
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	1.11e-06
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	1.55e-06
5WF5_A	Chain A, Human A2a adenosine receptor T4L chimera [Homo sapiens]	3.59e-06
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	7.32e-06
6LI2_A	Chain A, Chimera of G-protein coupled receptor 52 and Rubredoxin [Homo sapiens]	7.87e-06
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.17e-05
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.66e-05
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	4.37e-05
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	4.85e-05
