AIT99333.1	melanopsin 3, partial [Brachionus koreanus]	3.69e-160
RNA14436.1	visual pigment-like receptor peropsin [Brachionus plicatilis]	7.56e-86
RNA28085.1	melanopsin [Brachionus plicatilis]	1.23e-50
RNA43725.1	vertebrate ancient opsin-like [Brachionus plicatilis]	3.24e-49
AIT99323.1	melanopsin 1, partial [Brachionus koreanus]	1.82e-48
RNA30611.1	rod opsin [Brachionus plicatilis]	3.17e-48
RNA19352.1	melanopsin [Brachionus plicatilis]	4.37e-47
RNA30626.1	melanopsin [Brachionus plicatilis]	6.80e-47
RNA35867.1	melanopsin [Brachionus plicatilis]	6.80e-46
AIT99326.1	c-opsin, partial [Brachionus koreanus]	1.49e-44
RNA28801.1	melanopsin [Brachionus plicatilis]	1.04e-41
RNA18204.1	melanopsin, partial [Brachionus plicatilis]	3.62e-37
ASM47594.1	xenopsin [Leptochiton asellus]	7.87e-32
ASM47592.1	xenopsin2 [Owenia fusiformis]	2.62e-29
AIT99329.1	ciliary opsin 2, partial [Brachionus koreanus]	2.44e-28
XP_013088307.1	PREDICTED: parapinopsin-like [Biomphalaria glabrata]	4.23e-28
XP_009053448.1	hypothetical protein LOTGIDRAFT_64356, partial [Lottia gigantea]	1.13e-26
XP_033748186.1	visual pigment-like receptor peropsin [Pecten maximus]	4.25e-24
XP_022315090.1	visual pigment-like receptor peropsin [Crassostrea virginica]	4.85e-24
XP_022317361.1	visual pigment-like receptor peropsin [Crassostrea virginica]	5.78e-24
RUS71358.1	hypothetical protein EGW08_020877, partial [Elysia chlorotica]	8.56e-24
AGB67501.1	c-like opsin [Tripedalia cystophora]	1.82e-23
XP_011412506.2	melanopsin [Crassostrea gigas]	7.24e-23
APB88016.1	xenopsin [Argopecten irradians]	9.37e-23
XP_033732128.1	rhodopsin-like [Pecten maximus]	1.89e-22
XP_021358189.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	2.96e-22
XP_020857087.1	visual pigment-like receptor peropsin [Phascolarctos cinereus]	5.89e-22
XP_013400870.1	visual pigment-like receptor peropsin [Lingula anatina]	6.50e-22
XP_033841781.1	pinopsin-like [Periophthalmus magnuspinnatus]	9.15e-22
ASM47591.1	xenopsin1 [Owenia fusiformis]	1.07e-21
XP_004426639.1	PREDICTED: visual pigment-like receptor peropsin [Ceratotherium simum simum]	1.13e-21
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	1.24e-21
XP_025104835.1	LOW QUALITY PROTEIN: melanopsin-like [Pomacea canaliculata]	1.30e-21
XP_027693152.1	visual pigment-like receptor peropsin [Vombatus ursinus]	2.52e-21
TRZ23247.1	hypothetical protein HGM15179_003816 [Zosterops borbonicus]	2.58e-21
XP_019645819.1	PREDICTED: pinopsin-like [Branchiostoma belcheri]	3.21e-21
RNA01884.1	melanopsin, partial [Brachionus plicatilis]	3.66e-21
XP_001506416.1	visual pigment-like receptor peropsin [Ornithorhynchus anatinus]	3.92e-21
XP_023439766.1	visual pigment-like receptor peropsin, partial [Dasypus novemcinctus]	5.97e-21
ELV13710.1	Visual pigment-like receptor peropsin [Tupaia chinensis]	6.28e-21
XP_021014574.1	visual pigment-like receptor peropsin [Mus caroli]	6.34e-21
EMP40797.1	Pro-epidermal growth factor [Chelonia mydas]	7.88e-21
XP_031148952.1	vertebrate ancient opsin-like [Sander lucioperca]	8.09e-21
XP_031797407.1	visual pigment-like receptor peropsin [Sarcophilus harrisii]	1.19e-20
XP_007895211.1	PREDICTED: visual pigment-like receptor peropsin [Callorhinchus milii]	1.36e-20
XP_028648093.1	pinopsin-like [Erpetoichthys calabaricus]	1.92e-20
AAL83430.1	TMT opsin, partial [Takifugu rubripes]	1.98e-20
XP_028328834.1	vertebrate ancient opsin-like [Gouania willdenowi]	2.05e-20
XP_028450129.1	vertebrate ancient opsin-like [Perca flavescens]	2.12e-20
XP_032388164.1	pinopsin-like [Etheostoma spectabile]	2.30e-20
XP_029464046.1	visual pigment-like receptor peropsin [Rhinatrema bivittatum]	3.51e-20
XP_006637696.1	PREDICTED: pinopsin-like [Lepisosteus oculatus]	3.75e-20
XP_027621626.1	visual pigment-like receptor peropsin [Tupaia chinensis]	3.96e-20
XP_025729412.1	visual pigment-like receptor peropsin [Callorhinus ursinus]	4.12e-20
XP_027453715.1	visual pigment-like receptor peropsin [Zalophus californianus]	4.12e-20
XP_027977156.1	visual pigment-like receptor peropsin [Eumetopias jubatus]	4.39e-20
XP_033869620.2	LOW QUALITY PROTEIN: visual pigment-like receptor peropsin [Acipenser ruthenus]	4.41e-20
XP_003798200.1	visual pigment-like receptor peropsin [Otolemur garnettii]	4.43e-20
NP_001027778.1	multiple tissue opsin [Takifugu rubripes]	4.66e-20
XP_027879695.1	opsin-3-like [Xiphophorus couchianus]	4.76e-20
XP_014323928.1	opsin-3-like [Xiphophorus maculatus]	4.86e-20
XP_029979736.1	pinopsin-like [Sphaeramia orbicularis]	5.05e-20
XP_032422711.1	opsin-3-like [Xiphophorus hellerii]	5.32e-20
XP_026121191.1	parapinopsin-like, partial [Carassius auratus]	5.80e-20
XP_014733433.1	PREDICTED: melanopsin [Sturnus vulgaris]	5.89e-20
XP_026093682.1	parapinopsin-like [Carassius auratus]	6.06e-20
XP_026793810.1	teleost multiple tissue opsin b isoform X5 [Pangasianodon hypophthalmus]	6.33e-20
OWF48091.1	Visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	6.36e-20
XP_022312731.1	parapinopsin-like [Crassostrea virginica]	6.46e-20
XP_008105272.1	PREDICTED: parapinopsin [Anolis carolinensis]	6.56e-20
XP_026793808.1	teleost multiple tissue opsin b isoform X3 [Pangasianodon hypophthalmus]	6.73e-20
XP_026793807.2	teleost multiple tissue opsin b isoform X2 [Pangasianodon hypophthalmus]	6.84e-20
XP_026793809.1	teleost multiple tissue opsin b isoform X4 [Pangasianodon hypophthalmus]	7.35e-20
XP_023250846.1	opsin-3-like isoform X3 [Seriola lalandi dorsalis]	8.45e-20
XP_019491569.1	PREDICTED: visual pigment-like receptor peropsin isoform X2 [Hipposideros armiger]	1.07e-19
