Q9H1Y3.1	N/A	0.0
Q9WUK7.1	N/A	3.24e-173
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	9.20e-63
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	2.82e-57
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	3.37e-56
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	6.36e-54
O42266.1	N/A	6.87e-52
O13018.1	N/A	4.80e-51
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	1.17e-50
P49912.1	N/A	2.34e-50
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	2.37e-50
Q28886.1	N/A	3.81e-50
P02699.1	N/A	4.15e-50
P52202.1	N/A	6.10e-50
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	6.14e-50
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	9.77e-50
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.41e-49
Q95KU1.1	N/A	1.46e-49
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.69e-49
P28681.1	N/A	1.74e-49
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	3.32e-49
P15409.2	N/A	3.97e-49
O62798.1	N/A	4.19e-49
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	4.96e-49
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	5.99e-49
O62791.1	N/A	6.32e-49
P22328.1	N/A	9.05e-49
P28683.1	N/A	1.28e-48
O18766.1	N/A	1.29e-48
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.29e-48
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	1.35e-48
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	1.39e-48
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	1.91e-48
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	2.10e-48
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	2.44e-48
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.55e-48
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	2.68e-48
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	2.82e-48
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	3.40e-48
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	3.69e-48
Q769E8.1	N/A	3.83e-48
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	4.04e-48
Q68J47.1	N/A	5.84e-48
O62794.1	N/A	7.13e-48
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	7.67e-48
Q5YKK9.1	N/A	1.04e-47
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	1.06e-47
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.40e-47
Q9YH03.1	RecName: Full=Rhodopsin [Sarpa salpa]	1.95e-47
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	2.19e-47
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	2.32e-47
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.54e-47
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	3.01e-47
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	3.98e-47
P32310.1	N/A	4.05e-47
Q9YH04.1	RecName: Full=Rhodopsin [Diplodus vulgaris]	4.16e-47
Q9YH02.1	N/A	4.48e-47
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	5.35e-47
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	7.83e-47
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	7.93e-47
O57422.1	N/A	9.27e-47
Q9YGZ2.1	RecName: Full=Rhodopsin [Gobius niger]	9.42e-47
Q9YH00.1	RecName: Full=Rhodopsin [Lithognathus mormyrus]	1.20e-46
P41590.1	N/A	1.24e-46
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	1.37e-46
O35214.1	N/A	1.55e-46
P51488.1	RecName: Full=Rhodopsin [Cyprinus carpio]	1.57e-46
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	1.71e-46
Q9YGZ5.1	RecName: Full=Rhodopsin [Solea solea]	2.14e-46
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	2.17e-46
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.25e-46
P51471.1	N/A	2.32e-46
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	2.42e-46
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	2.62e-46
P79756.1	RecName: Full=Rhodopsin [Gambusia affinis]	2.83e-46
Q1JPS6.1	N/A	3.02e-46
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	3.18e-46
O42268.1	RecName: Full=Rhodopsin [Ictalurus punctatus]	3.99e-46
P79848.1	RecName: Full=Rhodopsin [Poecilia reticulata]	4.04e-46
Q9YGZ8.1	RecName: Full=Rhodopsin [Chelon labrosus]	6.39e-46
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	6.49e-46
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	7.17e-46
Q9YGZ4.1	RecName: Full=Rhodopsin [Dicentrarchus labrax]	8.76e-46
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	9.96e-46
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	1.63e-45
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	1.87e-45
P32311.1	N/A	2.07e-45
O14718.1	N/A	2.08e-45
Q9W6A8.1	N/A	2.21e-45
P87369.1	N/A	2.26e-45
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	2.29e-45
P08100.1	N/A	4.17e-45
Q98980.1	N/A	4.59e-45
Q9YGZ9.1	RecName: Full=Rhodopsin [Mugil cephalus]	5.26e-45
O42327.1	RecName: Full=Rhodopsin [Comephorus dybowskii]	6.81e-45
P32308.1	N/A	7.12e-45
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	7.15e-45
Q9YGZ7.1	RecName: Full=Rhodopsin [Chelon saliens]	7.21e-45
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	8.48e-45
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	8.68e-45
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	1.38e-44
P22331.1	N/A	1.62e-44
O62796.1	N/A	2.16e-44
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	2.19e-44
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	2.43e-44
