Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	7.25e-56
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	2.65e-55
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	4.14e-55
Q769E8.1	N/A	4.92e-55
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	5.12e-55
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	4.05e-54
P02699.1	N/A	4.12e-54
P28683.1	N/A	5.67e-54
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	5.79e-54
Q8AYM7.1	N/A	1.50e-53
P15409.2	N/A	1.78e-53
P52202.1	N/A	2.75e-53
P49912.1	N/A	2.87e-53
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	3.25e-53
P28681.1	N/A	3.59e-53
Q28886.1	N/A	4.12e-53
Q95KU1.1	N/A	4.78e-53
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	5.32e-53
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	5.32e-53
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	2.66e-52
O62794.1	N/A	2.69e-52
P32311.1	N/A	3.27e-52
Q90214.1	RecName: Full=Rhodopsin, deep-sea form [Anguilla anguilla]	4.75e-52
O18766.1	N/A	4.82e-52
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	8.86e-52
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	9.13e-52
P22328.1	N/A	1.23e-51
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.92e-51
Q68J47.1	N/A	2.04e-51
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	2.65e-51
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	3.73e-51
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	3.92e-51
O62791.1	N/A	4.85e-51
P41590.1	N/A	4.98e-51
P51471.1	N/A	5.60e-51
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	5.64e-51
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	9.01e-51
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.29e-50
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	1.41e-50
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	2.46e-50
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	2.91e-50
P32310.1	N/A	5.47e-50
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	7.43e-50
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	1.47e-49
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	2.41e-49
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	2.54e-49
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	2.64e-49
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	2.84e-49
P32309.1	RecName: Full=Rhodopsin [Carassius auratus]	2.87e-49
P32312.1	N/A	5.37e-49
O57422.1	N/A	6.98e-49
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	8.60e-49
