XP_033466832.1	retinal G protein coupled receptor b [Epinephelus lanceolatus]	0.0
XP_022598899.1	RPE-retinal G protein-coupled receptor-like [Seriola dumerili]	0.0
XP_023269137.1	RPE-retinal G protein-coupled receptor-like [Seriola lalandi dorsalis]	0.0
XP_030255073.1	RPE-retinal G protein-coupled receptor-like [Sparus aurata]	0.0
XP_022046658.1	RPE-retinal G protein-coupled receptor-like [Acanthochromis polyacanthus]	0.0
XP_028287254.1	RPE-retinal G protein-coupled receptor-like [Parambassis ranga]	0.0
XP_029312345.1	RPE-retinal G protein-coupled receptor-like [Cottoperca gobio]	0.0
XP_018554730.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Lates calcarifer]	0.0
XP_028332509.1	RPE-retinal G protein-coupled receptor-like [Gouania willdenowi]	0.0
XP_008304849.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Stegastes partitus]	0.0
XP_029978166.1	RPE-retinal G protein-coupled receptor-like [Sphaeramia orbicularis]	0.0
XP_015238580.1	PREDICTED: RPE-retinal G protein-coupled receptor [Cyprinodon variegatus]	0.0
XP_014898770.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Poecilia latipinna]	0.0
XP_026171515.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Mastacembelus armatus]	0.0
XP_003961279.1	RPE-retinal G protein-coupled receptor [Takifugu rubripes]	0.0
XP_008435094.1	PREDICTED: RPE-retinal G protein-coupled receptor [Poecilia reticulata]	0.0
XP_007558322.1	PREDICTED: RPE-retinal G protein-coupled receptor [Poecilia formosa]	0.0
XP_023196258.1	RPE-retinal G protein-coupled receptor [Xiphophorus maculatus]	0.0
XP_027145327.1	RPE-retinal G protein-coupled receptor [Larimichthys crocea]	0.0
XP_026206435.1	retinal G protein coupled receptor b [Anabas testudineus]	0.0
XP_023146583.1	RPE-retinal G protein-coupled receptor-like [Amphiprion ocellaris]	0.0
XP_019938480.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Paralichthys olivaceus]	0.0
XP_020501442.1	RPE-retinal G protein-coupled receptor-like [Labrus bergylta]	0.0
XP_029953904.1	RPE-retinal G protein-coupled receptor-like [Salarias fasciatus]	0.0
XP_029383994.1	RPE-retinal G protein-coupled receptor-like [Echeneis naucrates]	0.0
XP_034426492.1	retinal G protein coupled receptor b [Hippoglossus hippoglossus]	0.0
XP_034564639.1	retinal G protein coupled receptor b [Notolabrus celidotus]	0.0
XP_031699399.1	RPE-retinal G protein-coupled receptor-like [Anarrhichthys ocellatus]	0.0
XP_028991024.1	RPE-retinal G protein-coupled receptor-like [Betta splendens]	0.0
XP_032357358.1	RPE-retinal G protein-coupled receptor-like [Etheostoma spectabile]	0.0
XP_008312752.1	RPE-retinal G protein-coupled receptor [Cynoglossus semilaevis]	0.0
XP_034716848.1	retinal G protein coupled receptor b [Etheostoma cragini]	0.0
XP_034414889.1	retinal G protein coupled receptor b [Cyclopterus lumpus]	0.0
XP_013889912.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Austrofundulus limnaeus]	0.0
XP_020460844.1	RPE-retinal G protein-coupled receptor-like isoform X2 [Monopterus albus]	0.0
XP_012709592.2	RPE-retinal G protein-coupled receptor [Fundulus heteroclitus]	0.0
XP_029933170.1	RPE-retinal G protein-coupled receptor-like [Myripristis murdjan]	0.0
XP_006791143.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Neolamprologus brichardi]	0.0
XP_017289555.1	RPE-retinal G protein-coupled receptor [Kryptolebias marmoratus]	0.0
XP_019739125.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Hippocampus comes]	0.0
XP_015818489.1	PREDICTED: RPE-retinal G protein-coupled receptor [Nothobranchius furzeri]	0.0
XP_031604949.1	RPE-retinal G protein-coupled receptor-like [Oreochromis aureus]	0.0
XP_031171524.1	RPE-retinal G protein-coupled receptor-like [Sander lucioperca]	0.0
XP_027884838.1	RPE-retinal G protein-coupled receptor-like [Xiphophorus couchianus]	0.0
XP_003441835.1	RPE-retinal G protein-coupled receptor [Oreochromis niloticus]	0.0
XP_024140128.1	RPE-retinal G protein-coupled receptor-like [Oryzias melastigma]	0.0
XP_034049646.1	retinal G protein coupled receptor b [Thalassophryne amazonica]	0.0
XP_030611268.1	RPE-retinal G protein-coupled receptor-like [Archocentrus centrarchus]	0.0
XP_005919610.1	PREDICTED: RPE-retinal G protein-coupled receptor [Haplochromis burtoni]	0.0
XP_032429307.1	RPE-retinal G protein-coupled receptor-like [Xiphophorus hellerii]	0.0
XP_005736514.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pundamilia nyererei]	0.0
XP_028423949.1	RPE-retinal G protein-coupled receptor-like [Perca flavescens]	1.32e-180
XP_030196905.1	RPE-retinal G protein-coupled receptor-like [Gadus morhua]	1.70e-180
XP_004561269.2	RPE-retinal G protein-coupled receptor [Maylandia zebra]	2.19e-180
XP_026034258.1	RPE-retinal G protein-coupled receptor-like [Astatotilapia calliptera]	7.48e-180
XP_004080483.1	RPE-retinal G protein-coupled receptor [Oryzias latipes]	1.40e-175
XP_033840271.1	retinal G protein coupled receptor b [Periophthalmus magnuspinnatus]	2.42e-172
XP_020460843.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Monopterus albus]	3.50e-171
XP_026171516.1	RPE-retinal G protein-coupled receptor-like isoform X2 [Mastacembelus armatus]	1.50e-169
XP_034070480.1	retinal G protein coupled receptor b [Gymnodraco acuticeps]	1.75e-169
XP_033974707.1	retinal G protein coupled receptor b [Trematomus bernacchii]	3.13e-169
XP_033963818.1	retinal G protein coupled receptor b [Pseudochaenichthys georgianus]	4.97e-169
XP_010775950.1	PREDICTED: RPE-retinal G protein-coupled receptor [Notothenia coriiceps]	3.61e-168
XP_024259963.1	RPE-retinal G protein-coupled receptor-like [Oncorhynchus tshawytscha]	1.61e-164
XP_030629790.1	RPE-retinal G protein-coupled receptor-like [Chanos chanos]	4.88e-164
XP_021420326.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Oncorhynchus mykiss]	5.54e-164
XP_029505208.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Oncorhynchus nerka]	1.09e-163
XP_023864056.1	RPE-retinal G protein-coupled receptor [Salvelinus alpinus]	5.91e-163
XP_016429787.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Sinocyclocheilus rhinocerous]	2.26e-162
XP_014013524.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Salmo salar]	3.16e-162
XP_029621449.1	RPE-retinal G protein-coupled receptor-like [Salmo trutta]	4.24e-162
XP_031655171.1	RPE-retinal G protein-coupled receptor isoform X2 [Oncorhynchus kisutch]	1.07e-161
XP_014035854.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Salmo salar]	1.10e-161
XP_029559106.1	RPE-retinal G protein-coupled receptor-like [Salmo trutta]	1.46e-161
XP_016336348.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Sinocyclocheilus anshuiensis]	4.50e-161
XP_010867634.2	retinal G protein coupled receptor b [Esox lucius]	4.68e-161
XP_031660440.1	RPE-retinal G protein-coupled receptor-like [Oncorhynchus kisutch]	4.68e-161
XP_016116439.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Sinocyclocheilus grahami]	1.26e-160
XP_026077969.1	RPE-retinal G protein-coupled receptor-like [Carassius auratus]	1.61e-160
XP_026078063.1	RPE-retinal G protein-coupled receptor-like [Carassius auratus]	4.21e-160
NP_001019607.1	retinal G protein coupled receptor b [Danio rerio]	1.35e-156
XP_026131880.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Carassius auratus]	2.20e-153
XP_035259558.1	RPE-retinal G protein-coupled receptor-like isoform X1 [Anguilla anguilla]	1.88e-150
XP_017570819.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pygocentrus nattereri]	3.81e-150
XP_028845411.1	RPE-retinal G protein-coupled receptor-like [Denticeps clupeoides]	7.10e-150
XP_026771313.1	retinal G protein coupled receptor b [Pangasianodon hypophthalmus]	1.84e-148
XP_022521801.1	RPE-retinal G protein-coupled receptor [Astyanax mexicanus]	7.32e-148
XP_012688870.1	RPE-retinal G protein-coupled receptor [Clupea harengus]	9.84e-148
XP_016323870.1	PREDICTED: RPE-retinal G protein-coupled receptor-like [Sinocyclocheilus anshuiensis]	1.24e-146
XP_031655169.1	RPE-retinal G protein-coupled receptor isoform X1 [Oncorhynchus kisutch]	2.12e-146
XP_017338464.1	PREDICTED: RPE-retinal G protein-coupled receptor [Ictalurus punctatus]	6.15e-145
XP_027016970.1	LOW QUALITY PROTEIN: RPE-retinal G protein-coupled receptor-like [Tachysurus fulvidraco]	3.78e-143
XP_018945343.1	PREDICTED: RPE-retinal G protein-coupled receptor-like, partial [Cyprinus carpio]	5.80e-143
XP_018616401.1	RPE-retinal G protein-coupled receptor-like [Scleropages formosus]	1.21e-141
XP_024243095.1	RPE-retinal G protein-coupled receptor-like [Oncorhynchus tshawytscha]	2.44e-140
XP_021420328.1	RPE-retinal G protein-coupled receptor-like isoform X2 [Oncorhynchus mykiss]	6.72e-138
XP_026131881.1	RPE-retinal G protein-coupled receptor-like isoform X2 [Carassius auratus]	1.56e-133
XP_029509643.1	RPE-retinal G protein-coupled receptor-like, partial [Oncorhynchus nerka]	1.10e-132
XP_023698091.1	RPE-retinal G protein-coupled receptor-like [Paramormyrops kingsleyae]	5.63e-132
XP_020779376.1	RPE-retinal G protein-coupled receptor-like [Boleophthalmus pectinirostris]	2.88e-131
XP_029305904.1	RPE-retinal G protein-coupled receptor-like [Cottoperca gobio]	4.37e-131
XP_034008396.1	retinal G protein coupled receptor a [Trematomus bernacchii]	6.91e-131
XP_020790281.1	RPE-retinal G protein-coupled receptor-like [Boleophthalmus pectinirostris]	3.80e-130
XP_030628681.1	RPE-retinal G protein-coupled receptor-like [Chanos chanos]	7.18e-130
XP_023149727.1	RPE-retinal G protein-coupled receptor-like [Amphiprion ocellaris]	8.65e-130
