1F88_A	N/A	1.12e-21
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.13e-21
2X72_A	Chain A, Rhodopsin [Bos taurus]	4.75e-21
3C9M_A	Chain A, Rhodopsin [unidentified]	4.79e-21
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	4.84e-21
5DYS_A	Chain A, Rhodopsin [Bos taurus]	5.08e-21
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.34e-21
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.05e-20
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.06e-20
6QNO_R	Chain R, Rhodopsin [Bos taurus]	5.42e-20
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	5.48e-20
6FUF_A	Chain A, Rhodopsin [Bos taurus]	8.97e-19
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	1.54e-15
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	2.01e-15
2Z73_A	N/A	2.45e-15
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	8.38e-14
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.86e-13
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.30e-13
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	4.34e-13
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	4.67e-13
6OIK_R	Chain R, Muscarinic acetylcholine receptor M2,Muscarinic acetylcholine receptor M2 [Homo sapiens]	5.48e-12
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	2.84e-11
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	3.25e-11
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.92e-10
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.30e-09
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.36e-09
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.88e-09
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	3.88e-09
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	4.61e-09
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	5.11e-09
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	5.15e-09
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	6.93e-09
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	9.49e-09
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.12e-08
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.77e-08
2R4S_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.58e-08
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	3.04e-08
6NI3_R	Chain R, Endolysin,Beta-2 adrenergic receptor chimera [Enterobacteria phage RB59]	3.52e-08
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	3.62e-08
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	5.75e-08
6AK3_A	Chain A, Prostaglandin E2 receptor EP3 subtype,Soluble cytochrome b562 [Homo sapiens]	2.36e-07
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.58e-07
4DAJ_A	Chain A, Muscarinic acetylcholine receptor M3, Lysozyme [Rattus norvegicus]	1.74e-06
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	2.48e-06
6DRY_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	3.20e-06
6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	3.22e-06
4IB4_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	3.23e-06
5TVN_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	3.38e-06
4BWB_A	Chain A, Neurotensin Receptor Type 1 [Rattus norvegicus]	3.39e-06
6DRZ_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	3.40e-06
5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]	3.54e-06
3RZE_A	Chain A, Histamine H1 receptor, Lysozyme chimera [Escherichia virus T4]	4.76e-06
3UON_A	Chain A, Human M2 muscarinic acetylcholine, receptor T4 lysozyme fusion protein [Homo sapiens]	5.06e-06
4BV0_A	Chain A, NEUROTENSIN RECEPTOR TYPE 1 [Rattus norvegicus]	5.12e-06
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.22e-06
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.26e-06
6OL9_A	Chain A, Muscarinic acetylcholine receptor M5, T4 Lysozyme fusion [Homo sapiens]	6.71e-06
4U14_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	7.04e-06
4U15_A	Chain A, Muscarinic acetylcholine receptor M3,Lysozyme,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	7.21e-06
5N2S_A	Chain A, Soluble cytochrome b562,Adenosine receptor A1 [Escherichia coli]	7.60e-06
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	8.36e-06
5ZK8_A	Chain A, Muscarinic acetylcholine receptor M2,Redesigned apo-cytochrome b562,Muscarinic acetylcholine receptor M2 [Homo sapiens]	9.12e-06
6CM4_A	Chain A, D(2) dopamine receptor, endolysin chimera [Homo sapiens]	9.75e-06
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.13e-05
6U1N_R	Chain R, Muscarinic acetylcholine receptor M2, Vasopressin V2 receptor chimera [Homo sapiens]	1.22e-05
5WF5_A	Chain A, Human A2a adenosine receptor T4L chimera [Homo sapiens]	1.23e-05
5ZHP_A	Chain A, Muscarinic acetylcholine receptor M3,Endolysin,Endolysin,Muscarinic acetylcholine receptor M3 [Rattus norvegicus]	1.62e-05
5YC8_A	Chain A, Muscarinic acetylcholine receptor M2,Redesigned apo-cytochrome b562,Muscarinic acetylcholine receptor M2 [Homo sapiens]	1.84e-05
3ZEV_A	Chain A, Neurotensin Receptor 1 Tm86v [Rattus norvegicus]	1.88e-05
4BUO_A	Chain A, Neurotensin Receptor Type 1 [Rattus norvegicus]	2.13e-05
5UIG_A	Chain A, Adenosine receptor A2a,Soluble cytochrome b562,Adenosine receptor A2a [Homo sapiens]	4.45e-05
4EIY_A	Chain A, Adenosine receptor A2a/Soluble cytochrome b562 chimera [Homo sapiens]	4.63e-05
