4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.81e-44
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	4.93e-44
2Z73_A	N/A	2.19e-43
6FKB_A	Chain A, Rhodopsin [Bos taurus]	4.21e-39
6FK6_A	Chain A, Rhodopsin [Bos taurus]	4.34e-39
3C9M_A	Chain A, Rhodopsin [unidentified]	6.00e-39
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	6.13e-39
1F88_A	N/A	8.59e-39
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	8.77e-39
4BEY_A	Chain A, Rhodopsin [Bos taurus]	9.34e-39
2X72_A	Chain A, Rhodopsin [Bos taurus]	2.10e-38
5DYS_A	Chain A, Rhodopsin [Bos taurus]	2.26e-38
6FUF_A	Chain A, Rhodopsin [Bos taurus]	4.16e-38
6QNO_R	Chain R, Rhodopsin [Bos taurus]	6.89e-38
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	7.04e-38
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	2.82e-33
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.65e-31
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.82e-31
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.86e-31
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.91e-31
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	6.98e-17
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.12e-15
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.36e-15
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	8.71e-15
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.92e-14
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	3.30e-14
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	5.07e-14
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	3.16e-13
4YAY_A	Chain A, Soluble cytochrome b562,Type-1 angiotensin II receptor [Escherichia coli]	7.25e-13
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.49e-12
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	2.44e-12
4ZUD_A	Chain A, Chimera protein of Soluble cytochrome b562 and Type-1 angiotensin II receptor [Escherichia coli]	3.63e-12
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	4.96e-12
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	1.76e-11
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	2.23e-11
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	2.32e-11
2Y00_A	Chain A, BETA-1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	3.14e-11
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	3.58e-11
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	4.44e-11
4QKX_A	Chain A, Beta-2 adrenergic receptor [Escherichia virus T4]	4.89e-11
2KS9_A	Chain A, Substance-P receptor [Homo sapiens]	5.13e-11
5DHG_A	Chain A, Soluble cytochrome b562,Nociceptin receptor [Escherichia coli]	7.06e-11
4EA3_A	Chain A, Fusion protein of Nociceptin receptor and cytochrome b562 [Homo sapiens]	7.18e-11
5A8E_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	7.67e-11
