1F88_A	N/A	1.82e-97
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.88e-97
3C9M_A	Chain A, Rhodopsin [unidentified]	1.74e-96
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	1.80e-96
4BEY_A	Chain A, Rhodopsin [Bos taurus]	2.69e-96
2X72_A	Chain A, Rhodopsin [Bos taurus]	5.27e-96
5DYS_A	Chain A, Rhodopsin [Bos taurus]	7.22e-96
6QNO_R	Chain R, Rhodopsin [Bos taurus]	1.68e-95
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	1.74e-95
6FK6_A	Chain A, Rhodopsin [Bos taurus]	3.48e-93
6FKB_A	Chain A, Rhodopsin [Bos taurus]	3.80e-93
6FUF_A	Chain A, Rhodopsin [Bos taurus]	2.58e-92
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.68e-87
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	3.60e-87
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.62e-86
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	3.09e-86
6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	1.28e-33
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	3.28e-31
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	3.52e-31
2Z73_A	N/A	8.95e-31
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.96e-20
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.83e-13
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	5.93e-13
5C1M_A	Chain A, Mu-type opioid receptor [Mus musculus]	7.44e-12
6DDE_R	Chain R, Mu-type opioid receptor [Mus musculus]	1.06e-11
5ZBH_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme,Neuropeptide Y receptor type 1 [Homo sapiens]	1.67e-11
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	3.04e-11
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	4.67e-11
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	5.14e-11
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	7.80e-11
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	9.94e-11
4MQS_A	Chain A, Muscarinic Acetylcholine Receptor M2 [Homo sapiens]	3.22e-10
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	3.76e-10
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	5.17e-10
6TOD_A	Chain A, Orexin receptor type 1 [Homo sapiens]	5.78e-10
6TO7_A	Chain A, Orexin receptor type 1 [Homo sapiens]	7.12e-10
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	7.47e-10
6TKO_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	1.14e-09
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	1.66e-09
6G79_S	Chain S, 5-hydroxytryptamine receptor 1B [Homo sapiens]	2.07e-09
4IAR_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Homo sapiens]	2.31e-09
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	2.53e-09
5V54_A	Chain A, 5-hydroxytryptamine receptor 1B,OB-1 fused 5-HT1b receptor,5-hydroxytryptamine receptor 1B [Homo sapiens]	2.61e-09
4IAQ_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 1B and E. Coli soluble cytochrome b562 [Escherichia coli]	2.66e-09
6KR8_A	Chain A, beta 2 adrenergic receptor [Homo sapiens]	3.40e-09
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	4.64e-09
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	6.49e-09
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	7.99e-09
5WQC_A	Chain A, Orexin receptor type 2,GlgA glycogen synthase,Orexin receptor type 2 [Homo sapiens]	9.32e-09
4S0V_A	Chain A, Human Orexin receptor type 2 fusion protein to P. abysii Glycogen Synthase [Homo sapiens]	9.73e-09
