6I9K_A	Chain A, Kumopsin1 [Hasarius adansoni]	2.33e-65
2ZIY_A	Chain A, Crystal Structure Of Squid Rhodopsin [Todarodes pacificus]	1.87e-64
4WW3_A	Chain A, Rhodopsin [Todarodes pacificus]	2.21e-64
2Z73_A	N/A	1.17e-63
5DYS_A	Chain A, Rhodopsin [Bos taurus]	4.64e-46
4BEY_A	Chain A, Rhodopsin [Bos taurus]	5.84e-46
2X72_A	Chain A, Rhodopsin [Bos taurus]	8.34e-46
3C9M_A	Chain A, Rhodopsin [unidentified]	8.95e-46
2J4Y_A	Chain A, RHODOPSIN [Bos taurus]	9.16e-46
1F88_A	N/A	1.17e-45
1GZM_A	Chain A, RHODOPSIN [Bos taurus]	1.20e-45
6FK6_A	Chain A, Rhodopsin [Bos taurus]	1.31e-45
6FKB_A	Chain A, Rhodopsin [Bos taurus]	1.89e-45
6QNO_R	Chain R, Rhodopsin [Bos taurus]	2.02e-45
4A4M_A	Chain A, RHODOPSIN [Bos taurus]	2.07e-45
6FUF_A	Chain A, Rhodopsin [Bos taurus]	4.92e-45
6CMO_R	Chain R, chimera protein of Soluble cytochrome b562 and Rhodopsin [Escherichia coli]	1.87e-43
5W0P_A	Chain A, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.01e-42
5W0P_C	Chain C, Endolysin,Rhodopsin,S-arrestin [Enterobacteria phage RB55]	1.03e-42
4ZWJ_A	Chain A, Chimera protein of human Rhodopsin, mouse S-arrestin, and T4 Endolysin [Mus musculus]	1.09e-42
6ME8_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	9.98e-23
6ME7_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	2.16e-22
6ME6_A	Chain A, Soluble cytochrome b562,Melatonin receptor type 1B,Rubredoxin [Escherichia coli]	5.04e-22
6ME2_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	1.82e-21
6ME3_A	Chain A, chimera protein of Melatonin receptor type 1A and GlgA glycogen synthase [Homo sapiens]	2.47e-21
6K41_R	Chain R, Alpha-2A adrenergic receptor,Endolysin,Alpha-2B adrenergic receptor,Alpha-2B adrenergic receptor [Bos taurus]	2.65e-20
6DRX_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	1.18e-19
4IB4_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	1.21e-19
6DRY_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	1.28e-19
5TVN_A	Chain A, Chimera protein of human 5-hydroxytryptamine receptor 2B and E. Coli soluble cytochrome b562 [Homo sapiens]	1.31e-19
6VMS_R	Chain R, Endolysin,D(2) dopamine receptor,D(2) dopamine receptor [Escherichia virus T4]	1.55e-19
5TUD_A	Chain A, 5-hydroxytryptamine receptor 2B,Soluble cytochrome b562 chimera [Homo sapiens]	1.88e-19
3PWH_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.49e-19
6DRZ_A	Chain A, 5HT2B receptor, BRIL chimera [Homo sapiens]	2.78e-19
6OIJ_R	Chain R, Muscarinic acetylcholine receptor M1 [Homo sapiens]	1.01e-18
2YDO_A	Chain A, ADENOSINE RECEPTOR A2A [Homo sapiens]	1.59e-18
6WWZ_R	Chain R, C-C chemokine receptor type 6,C-C chemokine receptor type 6 [Homo sapiens]	1.64e-18
3VG9_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	1.87e-18
5G53_A	Chain A, Adenosine Receptor A2a [Homo sapiens]	2.41e-18
6GDG_A	Chain A, TrxA,Adenosine receptor A2a [Escherichia coli]	2.58e-18
6B73_A	Chain A, Soluble cytochrome b562, kappa-type opioid receptor [Escherichia coli]	3.79e-18
4DJH_A	Chain A, Kappa-type opioid receptor, Lysozyme [Homo sapiens]	6.02e-18
5N2S_A	Chain A, Soluble cytochrome b562,Adenosine receptor A1 [Escherichia coli]	9.81e-18
6VI4_A	Chain A, Kappa opioid receptor [Homo sapiens]	2.13e-17
6IBL_A	Chain A, Thioredoxin 1,Beta-1 adrenergic receptor [Escherichia coli K-12]	3.17e-17
5JQH_A	Chain A, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	3.43e-17
5ZBQ_A	Chain A, Neuropeptide Y receptor type 1,T4 Lysozyme [Enterobacteria phage RB55]	3.44e-17
6H7J_A	Chain A, Beta-1 adrenergic receptor [Meleagris gallopavo]	4.81e-17
4LDE_A	Chain A, Lysozyme, Beta-2 adrenergic receptor [Escherichia virus T4]	8.23e-17
6A93_A	Chain A, 5-hydroxytryptamine receptor 2A,Soluble cytochrome b562 [Homo sapiens]	9.41e-17
6KUX_A	Chain A, alpha2A adrenergic receptor [Spodoptera frugiperda]	1.50e-16
6MXT_A	Chain A, Endolysin, Beta-2 adrenergic receptor chimera [Escherichia virus T4]	1.57e-16
6KUY_A	Chain A, Alpha2A adrenergic receptor [Homo sapiens]	1.64e-16
3KJ6_A	Chain A, Beta-2 adrenergic receptor [Homo sapiens]	1.78e-16
3SN6_R	Chain R, Endolysin,Beta-2 adrenergic receptor [Escherichia virus T4]	1.97e-16
2VT4_A	Chain A, BETA1 ADRENERGIC RECEPTOR [Meleagris gallopavo]	2.07e-16
2R4R_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.09e-16
4GBR_A	Chain A, Beta-2 Adrenergic Receptor [Homo sapiens]	2.16e-16
4DKL_A	Chain A, Mu-type opioid receptor, lysozyme chimera [Mus musculus]	2.16e-16
