XP_033726492.1	rhodopsin, GQ-coupled-like [Pecten maximus]	0.0
XP_021355908.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	6.93e-166
XP_021355900.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	4.47e-130
XP_033727601.1	melanopsin-B-like [Pecten maximus]	1.99e-125
XP_021368658.1	rhodopsin-like [Mizuhopecten yessoensis]	3.28e-78
XP_033751107.1	rhodopsin-like [Pecten maximus]	6.08e-78
XP_033727976.1	opsin-3-like [Pecten maximus]	7.01e-51
XP_022335213.1	visual pigment-like receptor peropsin isoform X1 [Crassostrea virginica]	8.08e-49
XP_013382905.1	rhodopsin, GQ-coupled [Lingula anatina]	3.52e-47
XP_013400870.1	visual pigment-like receptor peropsin [Lingula anatina]	2.53e-46
XP_009053448.1	hypothetical protein LOTGIDRAFT_64356, partial [Lottia gigantea]	6.97e-46
XP_011421213.1	melanopsin-B-like [Crassostrea gigas]	1.52e-44
XP_033748186.1	visual pigment-like receptor peropsin [Pecten maximus]	8.61e-43
NP_001138950.1	c-opsin [Tribolium castaneum]	2.06e-41
XP_015834291.1	PREDICTED: c-opsin isoform X1 [Tribolium castaneum]	3.27e-41
XP_022317361.1	visual pigment-like receptor peropsin [Crassostrea virginica]	3.66e-41
XP_022315090.1	visual pigment-like receptor peropsin [Crassostrea virginica]	4.51e-41
XP_033732128.1	rhodopsin-like [Pecten maximus]	4.50e-40
XP_025107396.1	visual pigment-like receptor peropsin isoform X1 [Pomacea canaliculata]	6.74e-40
XP_026995164.1	melanopsin-B-like isoform X1 [Tachysurus fulvidraco]	5.10e-39
XP_026995167.1	melanopsin-B-like isoform X2 [Tachysurus fulvidraco]	5.79e-39
XP_017343894.1	PREDICTED: melanopsin-B-like isoform X1 [Ictalurus punctatus]	1.82e-38
XP_031339966.1	pinopsin-like [Photinus pyralis]	2.48e-38
XP_021358189.1	visual pigment-like receptor peropsin [Mizuhopecten yessoensis]	4.11e-38
XP_029345430.1	rhodopsin-like [Acyrthosiphon pisum]	4.57e-38
XP_017343895.1	PREDICTED: melanopsin-B-like isoform X2 [Ictalurus punctatus]	6.70e-38
XP_022096856.1	rhodopsin-like [Acanthaster planci]	7.84e-38
XP_022250634.1	melanopsin-like [Limulus polyphemus]	8.34e-38
XP_011412506.2	melanopsin [Crassostrea gigas]	8.51e-38
XP_019881013.1	PREDICTED: parapinopsin-like [Aethina tumida]	9.30e-38
XP_021357501.1	rhodopsin, GQ-coupled [Mizuhopecten yessoensis]	1.03e-37
XP_005996890.1	PREDICTED: opsin-3 [Latimeria chalumnae]	1.24e-37
XP_013397676.1	melanopsin-like [Lingula anatina]	2.35e-37
XP_025831774.1	pinopsin isoform X1 [Agrilus planipennis]	2.70e-37
XP_013876615.1	PREDICTED: opsin-3 [Austrofundulus limnaeus]	3.13e-37
XP_020474274.1	melanopsin-B-like isoform X1 [Monopterus albus]	4.06e-37
XP_025104835.1	LOW QUALITY PROTEIN: melanopsin-like [Pomacea canaliculata]	4.82e-37
XP_022172540.1	rhodopsin-like [Myzus persicae]	4.90e-37
XP_026804635.1	rhodopsin-like [Rhopalosiphum maidis]	4.96e-37
XP_029926483.1	opsin-3 [Myripristis murdjan]	5.32e-37
XP_023135516.1	melanopsin-B-like [Amphiprion ocellaris]	7.14e-37
XP_029609021.1	opsin-3-like isoform X1 [Salmo trutta]	9.03e-37
XP_019937384.1	PREDICTED: melanopsin-B-like [Paralichthys olivaceus]	9.16e-37
XP_011447068.2	rhodopsin, GQ-coupled [Crassostrea gigas]	9.42e-37
XP_008320382.1	opsin-3 [Cynoglossus semilaevis]	9.70e-37
XP_015372008.1	PREDICTED: rhodopsin-like [Diuraphis noxia]	1.04e-36
XP_030628785.1	opsin-3 [Chanos chanos]	1.79e-36
XP_026793806.1	teleost multiple tissue opsin b isoform X1 [Pangasianodon hypophthalmus]	1.81e-36
XP_031958088.1	opsin-3 [Corvus moneduloides]	1.82e-36
XP_035288766.1	pinopsin-like [Anguilla anguilla]	1.87e-36
XP_019742657.1	PREDICTED: melanopsin-B-like isoform X2 [Hippocampus comes]	2.01e-36
XP_034566015.1	opsin 4xa [Notolabrus celidotus]	2.08e-36
XP_010705129.2	opsin-3, partial [Meleagris gallopavo]	2.17e-36
XP_019742652.1	PREDICTED: melanopsin-B-like isoform X1 [Hippocampus comes]	2.18e-36
XP_022073070.1	opsin-3 [Acanthochromis polyacanthus]	2.31e-36
XP_003453953.2	melanopsin-B-like [Oreochromis niloticus]	2.32e-36
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	2.38e-36
XP_029693426.1	melanopsin-B-like isoform X1 [Takifugu rubripes]	2.56e-36
XP_033502160.1	opsin 4xa isoform X3 [Epinephelus lanceolatus]	2.94e-36
XP_005043850.1	PREDICTED: opsin-3 [Ficedula albicollis]	3.02e-36
XP_027838788.1	rhodopsin-like [Aphis gossypii]	3.26e-36
XP_022315064.1	LOW QUALITY PROTEIN: rhodopsin, GQ-coupled-like [Crassostrea virginica]	3.35e-36
XP_026212025.1	opsin 4xa [Anabas testudineus]	3.52e-36
XP_030303970.1	opsin-3 [Calypte anna]	3.61e-36
XP_013859175.1	PREDICTED: melanopsin-B-like isoform X2 [Austrofundulus limnaeus]	4.19e-36
XP_005518564.1	PREDICTED: opsin-3 [Pseudopodoces humilis]	4.42e-36
XP_030801769.1	opsin-3 [Camarhynchus parvulus]	4.75e-36
XP_033763106.1	visual pigment-like receptor peropsin [Pecten maximus]	5.13e-36
XP_008284691.1	PREDICTED: melanopsin-B-like [Stegastes partitus]	5.15e-36
XP_025193437.1	pinopsin-like [Melanaphis sacchari]	5.40e-36
XP_017290569.1	opsin-3 [Kryptolebias marmoratus]	5.58e-36
XP_031598470.1	melanopsin-B-like [Oreochromis aureus]	5.61e-36
XP_030124071.2	opsin-3 [Taeniopygia guttata]	5.78e-36
XP_026294152.1	pinopsin-like [Frankliniella occidentalis]	5.90e-36
XP_031448269.1	opsin-3 [Phasianus colchicus]	5.92e-36
XP_013859172.1	PREDICTED: melanopsin-B-like isoform X1 [Austrofundulus limnaeus]	6.22e-36
XP_028459262.1	opsin-3 isoform X1 [Perca flavescens]	6.36e-36
XP_021382869.1	opsin-3 [Lonchura striata domestica]	6.41e-36
XP_032811687.1	opsin-3-like [Petromyzon marinus]	6.42e-36
XP_015475813.1	opsin-3 [Parus major]	6.96e-36
XP_023132445.1	opsin-3 [Amphiprion ocellaris]	7.99e-36
XP_029371367.1	melanopsin-B-like [Echeneis naucrates]	8.03e-36
XP_028176689.1	pinopsin-like [Ostrinia furnacalis]	8.11e-36
XP_032909859.1	opsin-3 [Catharus ustulatus]	8.13e-36
XP_022114596.1	parapinopsin-like [Pieris rapae]	8.49e-36
XP_010775483.1	PREDICTED: pinopsin-like [Notothenia coriiceps]	8.60e-36
XP_014009697.1	PREDICTED: opsin-3-like [Salmo salar]	9.05e-36
XP_022070793.1	melanopsin-B-like isoform X2 [Acanthochromis polyacanthus]	9.52e-36
XP_018772506.2	opsin-3 [Serinus canaria]	9.58e-36
XP_021248229.1	opsin-3 [Numida meleagris]	9.61e-36
XP_032299662.1	opsin-3 [Coturnix japonica]	9.71e-36
XP_031152743.1	opsin-3 [Sander lucioperca]	1.02e-35
XP_015797420.1	PREDICTED: melanopsin-B-like [Nothobranchius furzeri]	1.03e-35
XP_014740701.1	PREDICTED: opsin-3 [Sturnus vulgaris]	1.07e-35
XP_028317937.1	melanopsin-B-like isoform X1 [Gouania willdenowi]	1.09e-35
XP_018536594.1	PREDICTED: opsin-3 isoform X2 [Lates calcarifer]	1.18e-35
XP_005487619.1	opsin-3 [Zonotrichia albicollis]	1.20e-35
XP_030012691.1	opsin-3 [Sphaeramia orbicularis]	1.20e-35
XP_030004137.1	LOW QUALITY PROTEIN: melanopsin-B-like [Sphaeramia orbicularis]	1.21e-35
XP_010862161.2	opsin-3 isoform X1 [Esox lucius]	1.30e-35
XP_029553920.1	opsin-3-like [Salmo trutta]	1.68e-35
XP_018526726.1	PREDICTED: melanopsin-B-like isoform X3 [Lates calcarifer]	1.68e-35
XP_026793808.1	teleost multiple tissue opsin b isoform X3 [Pangasianodon hypophthalmus]	1.72e-35
XP_015258091.1	PREDICTED: melanopsin-B-like [Cyprinodon variegatus]	1.78e-35
XP_006784954.1	PREDICTED: pinopsin-like [Neolamprologus brichardi]	1.97e-35
NP_001104634.1	opsin-3 [Danio rerio]	2.08e-35
XP_023275262.1	melanopsin-B-like isoform X3 [Seriola lalandi dorsalis]	2.11e-35
XP_012672463.1	opsin-3 [Clupea harengus]	2.14e-35
XP_027513211.1	opsin-3 [Corapipo altera]	2.24e-35
XP_032540414.1	opsin-3 [Chiroxiphia lanceolata]	2.26e-35
XP_027540200.1	opsin-3 [Neopelma chrysocephalum]	2.38e-35
XP_026171325.1	melanopsin-A-like [Mastacembelus armatus]	2.57e-35
XP_012717811.1	opsin-3 [Fundulus heteroclitus]	2.61e-35
XP_030598633.1	LOW QUALITY PROTEIN: melanopsin-B-like [Archocentrus centrarchus]	2.74e-35
XP_026133802.1	opsin-3-like isoform X1 [Carassius auratus]	2.90e-35
XP_028273632.1	melanopsin-B-like isoform X2 [Parambassis ranga]	2.99e-35
XP_022617897.1	melanopsin-B-like [Seriola dumerili]	3.05e-35
XP_014828801.1	PREDICTED: opsin-3 [Poecilia mexicana]	3.08e-35
XP_029940757.1	melanopsin-B-like [Salarias fasciatus]	3.18e-35
XP_014806034.1	PREDICTED: opsin-3 [Calidris pugnax]	3.21e-35
XP_024918546.1	melanopsin-B-like [Cynoglossus semilaevis]	3.28e-35
XP_031133837.1	melanopsin-B-like isoform X2 [Sander lucioperca]	3.50e-35
XP_020780968.1	melanopsin-B-like [Boleophthalmus pectinirostris]	3.53e-35
XP_028317938.1	melanopsin-B-like isoform X2 [Gouania willdenowi]	3.55e-35
XP_426139.2	opsin-3 [Gallus gallus]	3.56e-35
XP_029921156.1	melanopsin-B-like [Myripristis murdjan]	3.62e-35
XP_010750768.3	pinopsin [Larimichthys crocea]	3.66e-35
XP_015236014.1	PREDICTED: opsin-3 [Cyprinodon variegatus]	3.67e-35
XP_016417245.1	PREDICTED: opsin-3-like [Sinocyclocheilus rhinocerous]	3.79e-35
XP_021463464.1	opsin-3-like [Oncorhynchus mykiss]	3.80e-35
XP_007567006.1	PREDICTED: opsin-3 [Poecilia formosa]	3.82e-35
XP_033502159.1	opsin 4xa isoform X2 [Epinephelus lanceolatus]	4.00e-35
XP_033502158.1	opsin 4xa isoform X1 [Epinephelus lanceolatus]	4.05e-35
XP_031133836.1	melanopsin-B-like isoform X1 [Sander lucioperca]	4.08e-35
XP_019945374.1	PREDICTED: opsin-3 [Paralichthys olivaceus]	4.11e-35
XP_008428222.1	PREDICTED: opsin-3 [Poecilia reticulata]	4.41e-35
XP_020508939.1	opsin-3 [Labrus bergylta]	4.46e-35
XP_022604509.1	pinopsin-like [Seriola dumerili]	4.62e-35
XP_020335506.1	opsin-3 [Oncorhynchus kisutch]	4.67e-35
XP_029525648.1	opsin-3-like isoform X1 [Oncorhynchus nerka]	4.76e-35
XP_030210231.1	melanopsin-B isoform X2 [Gadus morhua]	4.81e-35
XP_020773048.1	melanopsin-A-like [Boleophthalmus pectinirostris]	4.96e-35
XP_019631461.1	PREDICTED: visual pigment-like receptor peropsin [Branchiostoma belcheri]	5.06e-35
XP_005795233.1	opsin-3 [Xiphophorus maculatus]	5.26e-35
XP_032408436.1	opsin-3-like [Xiphophorus hellerii]	5.31e-35
XP_034062625.1	pinopsin-like [Gymnodraco acuticeps]	5.44e-35
XP_007440155.1	opsin-3 [Python bivittatus]	5.53e-35
XP_014056280.1	PREDICTED: opsin-3-like [Salmo salar]	6.01e-35
XP_029300356.1	melanopsin-B-like [Cottoperca gobio]	6.14e-35
XP_008335801.1	vertebrate ancient opsin-like [Cynoglossus semilaevis]	6.17e-35
XP_030612610.1	pinopsin-like isoform X1 [Archocentrus centrarchus]	6.33e-35
XP_031408933.1	melanopsin [Meleagris gallopavo]	6.36e-35
XP_034537083.1	opsin-3 [Notolabrus celidotus]	6.36e-35
XP_005926388.1	PREDICTED: pinopsin-like [Haplochromis burtoni]	6.48e-35
XP_004538628.2	melanopsin-B [Maylandia zebra]	6.57e-35
XP_020661617.1	melanopsin [Pogona vitticeps]	6.94e-35
XP_026793810.1	teleost multiple tissue opsin b isoform X5 [Pangasianodon hypophthalmus]	6.99e-35
XP_027644960.1	opsin-3 [Falco peregrinus]	7.09e-35
XP_021555704.1	melanopsin isoform X3 [Neomonachus schauinslandi]	7.65e-35
XP_005735407.1	PREDICTED: melanopsin-B-like [Pundamilia nyererei]	7.81e-35
XP_034832969.1	parapinopsin-like [Aphantopus hyperantus]	7.98e-35
XP_022835026.1	parapinopsin-like [Spodoptera litura]	8.13e-35
XP_032518090.1	parapinopsin-like [Danaus plexippus plexippus]	8.31e-35
XP_026793807.2	teleost multiple tissue opsin b isoform X2 [Pangasianodon hypophthalmus]	8.70e-35
XP_019737439.1	PREDICTED: opsin-3 [Hippocampus comes]	8.94e-35
XP_035255545.1	opsin-3 [Anguilla anguilla]	9.03e-35
XP_021555702.1	melanopsin isoform X1 [Neomonachus schauinslandi]	9.17e-35
XP_005146066.2	opsin-3 [Melopsittacus undulatus]	9.27e-35
XP_024155270.1	melanopsin-B-like isoform X2 [Oryzias melastigma]	9.42e-35
XP_033996245.1	pinopsin-like [Trematomus bernacchii]	9.51e-35
XP_024155269.1	melanopsin-B-like isoform X1 [Oryzias melastigma]	9.59e-35
XP_031148952.1	vertebrate ancient opsin-like [Sander lucioperca]	9.64e-35
XP_030355612.1	opsin-3 [Strigops habroptila]	9.85e-35
NP_001304832.1	multiple tissue opsin [Xenopus tropicalis]	9.85e-35
XP_016311986.1	PREDICTED: opsin-3-like [Sinocyclocheilus anshuiensis]	1.02e-34
XP_023954186.1	parapinopsin-like [Bicyclus anynana]	1.02e-34
XP_035002614.1	melanopsin-A-like isoform X2 [Hippoglossus stenolepis]	1.02e-34
XP_004551907.1	pinopsin [Maylandia zebra]	1.02e-34
XP_030235202.1	opsin-3 [Gadus morhua]	1.04e-34
XP_024124883.1	opsin-3 [Oryzias melastigma]	1.04e-34
