Q6U736.3	N/A	2.14e-73
Q6VZZ7.1	N/A	4.74e-73
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	5.39e-35
Q5YKK9.1	N/A	4.21e-34
Q1JPS6.1	N/A	2.17e-33
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	4.26e-33
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	7.40e-33
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	2.07e-32
O57422.1	N/A	3.21e-32
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	3.20e-31
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.57e-30
Q8R456.1	N/A	3.46e-30
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	5.17e-30
P22269.1	RecName: Full=Opsin Rh1; AltName: Full=Outer R1-R6 photoreceptor cells opsin [Calliphora vicina]	1.35e-29
Q9QXZ9.1	N/A	1.58e-29
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.05e-29
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	2.59e-29
Q9UHM6.1	N/A	3.10e-29
O14718.1	N/A	1.89e-28
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	3.47e-28
Q95YI3.1	N/A	1.69e-26
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	6.76e-26
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	8.32e-26
Q17292.1	N/A	9.08e-26
O35214.1	N/A	9.76e-26
P06002.1	N/A	1.47e-25
O61303.1	N/A	5.45e-25
P28678.4	N/A	7.55e-25
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	9.73e-25
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	2.33e-24
