Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.43e-30
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	1.03e-29
O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	3.41e-29
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	5.83e-29
O42266.1	N/A	1.17e-28
O35214.1	N/A	2.15e-28
Q9H1Y3.1	N/A	2.93e-28
Q1JPS6.1	N/A	1.21e-27
O14718.1	N/A	3.89e-27
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	4.08e-27
O57422.1	N/A	1.08e-26
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	1.09e-26
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	4.32e-26
Q9QXZ9.1	N/A	5.92e-26
O12948.1	N/A	7.00e-26
Q5YKK9.1	N/A	1.62e-25
Q8R456.1	N/A	3.69e-25
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	4.82e-25
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	5.31e-25
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	8.10e-25
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	8.56e-25
Q28886.1	N/A	1.20e-24
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	1.51e-24
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	5.38e-24
O62791.1	N/A	8.16e-24
O62798.1	N/A	9.38e-24
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.28e-23
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	1.36e-23
P87367.1	N/A	1.49e-23
Q95KU1.1	N/A	1.50e-23
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	1.50e-23
P49912.1	N/A	1.56e-23
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	1.63e-23
P28679.3	N/A	1.75e-23
P22328.1	N/A	2.11e-23
Q769E8.1	N/A	2.50e-23
Q68J47.1	N/A	2.93e-23
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	3.24e-23
O18766.1	N/A	3.24e-23
P22329.1	N/A	3.25e-23
P15409.2	N/A	3.27e-23
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	4.08e-23
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	4.64e-23
O62794.1	N/A	5.33e-23
P41592.1	N/A	6.97e-23
P02699.1	N/A	7.12e-23
Q9R024.1	N/A	1.10e-22
P28681.1	N/A	1.10e-22
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.61e-22
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	1.81e-22
P35358.1	RecName: Full=Green-sensitive opsin P521; AltName: Full=Green photoreceptor pigment [Gekko gecko]	2.25e-22
P22332.2	N/A	2.97e-22
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	3.14e-22
P52202.1	N/A	3.40e-22
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	4.16e-22
P08099.1	N/A	4.20e-22
P22330.1	RecName: Full=Green-sensitive opsin-1; AltName: Full=Green cone photoreceptor pigment 1 [Psalidodon fasciatus]	5.04e-22
O13018.1	N/A	5.97e-22
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	6.51e-22
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	8.05e-22
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	8.67e-22
O18914.2	N/A	1.19e-21
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.36e-21
P32313.1	RecName: Full=Red-sensitive opsin; AltName: Full=Red cone photoreceptor pigment [Carassius auratus]	1.71e-21
Q8AYN0.1	RecName: Full=Red-sensitive opsin-2; AltName: Full=Opsin-1, long-wave-sensitive 2; Short=Opsin LWS-2; AltName: Full=Red cone photoreceptor pigment 2 [Danio rerio]	2.04e-21
Q6U736.3	N/A	2.07e-21
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	2.71e-21
O18910.2	N/A	2.86e-21
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	3.45e-21
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	3.58e-21
Q9BGI7.1	N/A	3.65e-21
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	4.21e-21
Q9WUK7.1	N/A	4.52e-21
P22331.1	N/A	6.11e-21
