XP_007067299.1	RPE-retinal G protein-coupled receptor isoform X1 [Chelonia mydas]	4.19e-157
XP_007067300.1	RPE-retinal G protein-coupled receptor isoform X2 [Chelonia mydas]	6.93e-157
XP_034632400.1	RPE-retinal G protein-coupled receptor isoform X1 [Trachemys scripta elegans]	5.85e-152
XP_005294077.1	RPE-retinal G protein-coupled receptor isoform X2 [Chrysemys picta bellii]	5.92e-152
XP_005294076.1	RPE-retinal G protein-coupled receptor isoform X1 [Chrysemys picta bellii]	6.98e-152
XP_030425773.1	RPE-retinal G protein-coupled receptor isoform X2 [Gopherus evgoodei]	1.22e-141
XP_030425772.1	RPE-retinal G protein-coupled receptor isoform X1 [Gopherus evgoodei]	3.18e-141
XP_006112451.2	RPE-retinal G protein-coupled receptor isoform X1 [Pelodiscus sinensis]	9.83e-140
XP_006112450.1	RPE-retinal G protein-coupled receptor isoform X2 [Pelodiscus sinensis]	1.94e-139
XP_032660727.1	RPE-retinal G protein-coupled receptor isoform X1 [Chelonoidis abingdonii]	2.21e-139
XP_032660736.1	RPE-retinal G protein-coupled receptor isoform X2 [Chelonoidis abingdonii]	2.58e-139
XP_009986006.1	PREDICTED: RPE-retinal G protein-coupled receptor [Tauraco erythrolophus]	4.90e-138
XP_025898879.1	RPE-retinal G protein-coupled receptor isoform X1 [Nothoprocta perdicaria]	1.39e-137
XP_009332887.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pygoscelis adeliae]	1.42e-137
XP_010212073.1	PREDICTED: RPE-retinal G protein-coupled receptor [Tinamus guttatus]	1.84e-137
XP_009281185.1	PREDICTED: RPE-retinal G protein-coupled receptor [Aptenodytes forsteri]	5.15e-137
XP_010193598.1	PREDICTED: RPE-retinal G protein-coupled receptor [Colius striatus]	8.34e-137
XP_033004672.1	RPE-retinal G protein-coupled receptor [Lacerta agilis]	3.89e-135
XP_021391823.1	RPE-retinal G protein-coupled receptor isoform X1 [Lonchura striata domestica]	9.38e-134
XP_015272252.1	PREDICTED: RPE-retinal G protein-coupled receptor [Gekko japonicus]	1.87e-133
XP_028585071.1	RPE-retinal G protein-coupled receptor isoform X1 [Podarcis muralis]	2.36e-133
XP_028585072.1	RPE-retinal G protein-coupled receptor isoform X2 [Podarcis muralis]	2.46e-133
XP_030131720.2	RPE-retinal G protein-coupled receptor isoform X2 [Taeniopygia guttata]	5.67e-133
XP_002193326.2	RPE-retinal G protein-coupled receptor isoform X1 [Taeniopygia guttata]	8.64e-133
XP_034994057.1	RPE-retinal G protein-coupled receptor [Zootoca vivipara]	1.10e-132
XP_005236806.1	RPE-retinal G protein-coupled receptor [Falco peregrinus]	2.91e-132
XP_028585073.1	RPE-retinal G protein-coupled receptor isoform X3 [Podarcis muralis]	5.62e-132
XP_005433542.1	RPE-retinal G protein-coupled receptor [Falco cherrug]	2.99e-131
XP_009506096.1	PREDICTED: RPE-retinal G protein-coupled receptor [Phalacrocorax carbo]	4.37e-130
XP_025972507.1	RPE-retinal G protein-coupled receptor isoform X1 [Dromaius novaehollandiae]	5.93e-130
XP_010012797.1	PREDICTED: RPE-retinal G protein-coupled receptor [Nestor notabilis]	5.94e-130
XP_010076541.1	PREDICTED: RPE-retinal G protein-coupled receptor [Pterocles gutturalis]	1.36e-129
XP_009683880.1	PREDICTED: RPE-retinal G protein-coupled receptor [Struthio camelus australis]	2.09e-129
XP_025925739.1	RPE-retinal G protein-coupled receptor [Apteryx rowi]	2.35e-129
XP_009891352.1	PREDICTED: RPE-retinal G protein-coupled receptor [Charadrius vociferus]	2.57e-129
XP_009707429.1	PREDICTED: RPE-retinal G protein-coupled receptor [Cariama cristata]	3.03e-129
XP_009928029.1	PREDICTED: RPE-retinal G protein-coupled receptor [Haliaeetus albicilla]	5.77e-129
XP_029886215.1	RPE-retinal G protein-coupled receptor [Aquila chrysaetos chrysaetos]	9.87e-129
XP_013816938.1	PREDICTED: RPE-retinal G protein-coupled receptor [Apteryx mantelli mantelli]	1.10e-128
XP_009480297.1	PREDICTED: RPE-retinal G protein-coupled receptor, partial [Pelecanus crispus]	1.18e-128
XP_008499689.1	RPE-retinal G protein-coupled receptor isoform X1 [Calypte anna]	1.34e-128
XP_009464209.1	PREDICTED: RPE-retinal G protein-coupled receptor [Nipponia nippon]	1.80e-128
XP_014795889.1	PREDICTED: RPE-retinal G protein-coupled receptor [Calidris pugnax]	1.94e-128
XP_021256033.1	RPE-retinal G protein-coupled receptor [Numida meleagris]	2.79e-128
XP_030343201.1	RPE-retinal G protein-coupled receptor [Strigops habroptila]	3.59e-128
XP_006630347.1	PREDICTED: RPE-retinal G protein-coupled receptor [Lepisosteus oculatus]	3.87e-128
XP_027316211.1	RPE-retinal G protein-coupled receptor [Anas platyrhynchos]	4.14e-128
XP_009864542.1	PREDICTED: RPE-retinal G protein-coupled receptor [Apaloderma vittatum]	5.04e-128
XP_020652504.1	RPE-retinal G protein-coupled receptor isoform X4 [Pogona vitticeps]	6.69e-128
XP_020652501.1	RPE-retinal G protein-coupled receptor isoform X1 [Pogona vitticeps]	8.35e-128
XP_003207864.2	RPE-retinal G protein-coupled receptor [Meleagris gallopavo]	1.23e-127
