P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.37e-67
O42266.1	N/A	1.19e-64
Q9H1Y3.1	N/A	1.87e-62
O42490.1	RecName: Full=Pineal opsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin [Petromyzon marinus]	5.23e-62
P79903.1	RecName: Full=Rhodopsin [Sargocentron spiniferum]	2.37e-60
P79911.1	RecName: Full=Rhodopsin [Sargocentron tiere]	5.05e-60
P51475.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Gallus gallus]	1.27e-59
O13018.1	N/A	2.00e-59
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	5.95e-59
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	2.35e-58
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	4.42e-58
Q7T3Q7.1	RecName: Full=Opsin-VA; AltName: Full=Vertebrate ancient opsin [Rutilus rutilus]	5.42e-58
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	1.21e-57
Q9WUK7.1	N/A	2.44e-57
P41592.1	N/A	2.49e-57
P32310.1	N/A	4.27e-57
P51472.1	N/A	4.55e-57
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.08e-56
P02699.1	N/A	1.89e-56
P15409.2	N/A	2.05e-56
P28681.1	N/A	2.41e-56
P04000.1	RecName: Full=Long-wave-sensitive opsin 1; AltName: Full=Red cone photoreceptor pigment; AltName: Full=Red-sensitive opsin; Short=ROP [Homo sapiens]	3.66e-56
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	7.05e-56
O18910.2	N/A	7.79e-56
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	8.09e-56
P34989.1	RecName: Full=Opsin, longwave 563 nm [Callithrix jacchus]	1.31e-55
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.62e-55
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.66e-55
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	2.02e-55
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	2.66e-55
Q9W6A8.1	N/A	2.93e-55
P51470.1	RecName: Full=Rhodopsin [Lithobates catesbeianus]	4.07e-55
P79901.1	RecName: Full=Rhodopsin [Sargocentron microstoma]	4.74e-55
Q9R024.1	N/A	8.06e-55
P28683.1	N/A	1.09e-54
P49912.1	N/A	1.23e-54
Q28886.1	N/A	1.39e-54
P56514.1	RecName: Full=Rhodopsin [Bufo bufo]	1.41e-54
P79898.1	RecName: Full=Rhodopsin [Sargocentron diadema]	1.47e-54
O18914.2	N/A	1.56e-54
P29403.1	RecName: Full=Rhodopsin [Xenopus laevis]	1.71e-54
P31355.1	RecName: Full=Rhodopsin [Rana pipiens]	2.18e-54
Q95KU1.1	N/A	2.23e-54
P22328.1	N/A	2.34e-54
Q8AYM7.1	N/A	2.84e-54
O18913.2	N/A	2.85e-54
O35478.2	RecName: Full=Medium-wave-sensitive opsin 1; AltName: Full=Green cone photoreceptor pigment; AltName: Full=Green-sensitive opsin; AltName: Full=Medium wavelength-sensitive cone opsin [Sciurus carolinensis]	2.91e-54
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	4.31e-54
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	5.42e-54
P32311.1	N/A	5.84e-54
P52202.1	N/A	6.18e-54
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	6.35e-54
Q769E8.1	N/A	7.66e-54
O35599.1	N/A	1.15e-53
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.48e-53
P87367.1	N/A	1.54e-53
O35476.2	N/A	2.09e-53
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	2.21e-53
Q9W6A5.2	N/A	2.64e-53
O62794.1	N/A	2.68e-53
O18912.2	N/A	2.90e-53
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	3.32e-53
Q9BGI7.1	N/A	3.37e-53
O57605.1	N/A	3.99e-53
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	4.41e-53
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	4.44e-53
Q95170.1	N/A	7.07e-53
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	9.18e-53
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	9.73e-53
P22329.1	N/A	1.26e-52
O18766.1	N/A	1.29e-52
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	1.30e-52
