O15973.1	RecName: Full=Rhodopsin, GQ-coupled; AltName: Full=GQ-rhodopsin [Mizuhopecten yessoensis]	1.82e-40
Q804Q2.1	RecName: Full=Melanopsin-B; AltName: Full=Opsin-4B [Gadus morhua]	2.38e-36
Q1JPS6.1	N/A	1.60e-35
Q5YKK9.1	N/A	3.97e-35
Q6XL69.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Rutilus rutilus]	5.11e-35
Q804X9.1	RecName: Full=Melanopsin-A; AltName: Full=Opsin-4A [Gadus morhua]	7.78e-35
Q95YI3.1	N/A	2.23e-34
O15974.1	RecName: Full=Rhodopsin, G0-coupled; AltName: Full=G0-rhodopsin [Mizuhopecten yessoensis]	2.85e-34
Q4U4D2.2	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Podarcis siculus]	5.82e-34
O57422.1	N/A	8.60e-34
Q17296.1	RecName: Full=Rhodopsin [Cataglyphis bombycina]	6.80e-33
P24603.1	RecName: Full=Rhodopsin [Loligo forbesii]	7.49e-33
O14718.1	N/A	9.06e-33
Q17292.1	N/A	1.20e-32
Q2KNE5.3	RecName: Full=Melanopsin-A; AltName: Full=Mammalian-like melanopsin; AltName: Full=Melanopsin-M; AltName: Full=Opsin-4-A; AltName: Full=Opsin-4M [Danio rerio]	1.41e-32
Q68J47.1	N/A	1.64e-32
Q5XXP2.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4 [Phodopus sungorus]	1.90e-32
O62798.1	N/A	3.56e-32
P02699.1	N/A	5.64e-32
O62793.1	RecName: Full=Rhodopsin [Mesoplodon bidens]	9.12e-32
P09241.1	RecName: Full=Rhodopsin [Enteroctopus dofleini]	9.61e-32
O16005.1	RecName: Full=Rhodopsin [Sepia officinalis]	1.14e-31
Q17094.1	RecName: Full=Rhodopsin [Alloteuthis subulata]	1.19e-31
O62791.1	N/A	1.47e-31
Q4R1I4.1	RecName: Full=Melanopsin; AltName: Full=Opsin-4; AltName: Full=amphi-MOP [Branchiostoma belcheri]	1.47e-31
P31356.2	RecName: Full=Rhodopsin [Todarodes pacificus]	1.51e-31
O42266.1	N/A	1.76e-31
Q8HY69.2	RecName: Full=Rhodopsin [Sminthopsis crassicaudata]	1.82e-31
Q17053.1	RecName: Full=Rhodopsin, long-wavelength; AltName: Full=Opsin, green-sensitive [Apis mellifera]	1.93e-31
P41591.1	RecName: Full=Rhodopsin [Anolis carolinensis]	2.67e-31
Q6W3E1.1	RecName: Full=Rhodopsin [Caluromys philander]	1.26e-30
Q9UHM6.1	N/A	1.37e-30
O62792.1	RecName: Full=Rhodopsin [Globicephala melas]	1.52e-30
P49912.1	N/A	1.60e-30
O93441.1	RecName: Full=Rhodopsin [Galeus melastomus]	1.72e-30
O93459.1	RecName: Full=Rhodopsin [Scyliorhinus canicula]	1.76e-30
Q95KU1.1	N/A	2.06e-30
Q90245.1	RecName: Full=Rhodopsin [Ambystoma tigrinum]	2.20e-30
P51489.1	RecName: Full=Rhodopsin [Rattus norvegicus]	2.44e-30
P28684.1	N/A	2.53e-30
P51472.1	N/A	2.83e-30
P79807.1	RecName: Full=Rhodopsin [Myripristis violacea]	3.21e-30
Q28886.1	N/A	4.36e-30
O57605.1	N/A	5.46e-30
Q8R456.1	N/A	8.83e-30
Q9W6A8.1	N/A	1.02e-29
P22328.1	N/A	1.06e-29
O18766.1	N/A	1.08e-29
P79798.1	RecName: Full=Rhodopsin [Myripristis berndti]	1.35e-29
Q9WUK7.1	N/A	1.55e-29
O35214.1	N/A	2.03e-29
P15409.2	N/A	2.44e-29
Q9QXZ9.1	N/A	2.84e-29
O62794.1	N/A	4.62e-29
P51473.1	N/A	4.78e-29
P35360.1	RecName: Full=Lateral eye opsin [Limulus polyphemus]	7.19e-29
O62795.1	RecName: Full=Rhodopsin [Phoca groenlandica]	7.21e-29
Q9YGZ0.1	RecName: Full=Rhodopsin [Sardina pilchardus]	7.74e-29
P79812.1	RecName: Full=Rhodopsin [Neoniphon sammara]	7.74e-29
O02464.2	RecName: Full=Opsin-1; Short=MANOP1; AltName: Full=Rhodopsin 1, long-wavelength; AltName: Full=Rhodopsin P520 [Manduca sexta]	8.07e-29
P41590.1	N/A	1.10e-28
P35361.1	N/A	1.26e-28
Q769E8.1	N/A	2.28e-28
P28681.1	N/A	2.40e-28
O13092.1	N/A	3.33e-28
Q94741.1	RecName: Full=Opsin-1 [Schistocerca gregaria]	3.82e-28
P56516.1	RecName: Full=Rhodopsin [Rana temporaria]	4.25e-28
P79863.1	RecName: Full=Rhodopsin [Leucoraja erinacea]	4.70e-28
O42604.1	RecName: Full=Rhodopsin [Zeus faber]	5.05e-28
P52202.1	N/A	5.40e-28
P28683.1	N/A	6.94e-28
P02700.2	RecName: Full=Rhodopsin [Ovis aries]	1.22e-27
P51476.1	RecName: Full=Pinopsin; AltName: Full=Pineal gland-specific opsin; Short=P-opsin; Short=Pineal opsin [Columba livia]	1.43e-27
P79902.1	RecName: Full=Rhodopsin [Sargocentron punctatissimum]	1.67e-27
Q9W6A6.2	RecName: Full=Green-sensitive opsin-4; AltName: Full=Green cone photoreceptor pigment 4; AltName: Full=Opsin RH2-4; AltName: Full=Opsin-1, medium-wave-sensitive 4 [Danio rerio]	1.68e-27
P51471.1	N/A	1.70e-27
P79808.1	RecName: Full=Rhodopsin [Neoniphon argenteus]	2.02e-27
P35359.2	RecName: Full=Rhodopsin [Danio rerio]	2.12e-27
Q9H1Y3.1	N/A	2.38e-27
P79809.1	RecName: Full=Rhodopsin [Neoniphon aurolineatus]	2.72e-27
P03999.1	N/A	3.15e-27
Q8AYM7.1	N/A	5.45e-27
O42307.1	RecName: Full=Rhodopsin [Cottinella boulengeri]	5.65e-27
P79914.1	RecName: Full=Rhodopsin [Sargocentron xantherythrum]	7.61e-27
P35403.1	RecName: Full=Rhodopsin [Pomatoschistus minutus]	9.43e-27
Q9YGZ3.1	RecName: Full=Rhodopsin [Salaria pavo]	1.00e-26
Q9YH01.1	RecName: Full=Rhodopsin [Mullus surmuletus]	1.02e-26
P87369.1	N/A	1.04e-26
P56515.1	RecName: Full=Rhodopsin [Rhinella marina]	1.26e-26
O42330.1	RecName: Full=Rhodopsin [Cottocomephorus inermis]	1.27e-26
Q9YH05.1	RecName: Full=Rhodopsin [Diplodus annularis]	1.32e-26
P22671.1	RecName: Full=Rhodopsin [Lethenteron camtschaticum]	1.44e-26
P35357.1	RecName: Full=Blue-sensitive opsin P467; AltName: Full=Blue photoreceptor pigment [Gekko gecko]	1.57e-26
Q9YGY9.1	RecName: Full=Rhodopsin [Zosterisessor ophiocephalus]	1.83e-26
Q9YGZ1.1	RecName: Full=Rhodopsin [Atherina boyeri]	2.08e-26
P32311.1	N/A	2.17e-26
O13227.1	RecName: Full=Blue-sensitive opsin; AltName: Full=Blue cone photoreceptor pigment [Conger conger]	2.32e-26
P32308.1	N/A	2.94e-26
P08100.1	N/A	2.94e-26
Q9DGG4.1	RecName: Full=Rhodopsin [Tetraodon nigroviridis]	3.06e-26
O01668.1	N/A	3.06e-26
O62796.1	N/A	3.19e-26
P35362.1	RecName: Full=Rhodopsin; Short=Opsin [Sphodromantis sp.]	3.48e-26
