ELU02401.1	hypothetical protein CAPTEDRAFT_226303 [Capitella teleta]	0.0
ELU09017.1	hypothetical protein CAPTEDRAFT_44169, partial [Capitella teleta]	4.77e-37
XP_009048325.1	hypothetical protein LOTGIDRAFT_140119, partial [Lottia gigantea]	7.22e-34
EFX84680.1	hypothetical protein DAPPUDRAFT_194423 [Daphnia pulex]	7.57e-33
XP_033001490.1	opsin-5-like [Lacerta agilis]	2.78e-31
XP_032791760.1	opsin-5-like [Daphnia magna]	3.77e-31
KZS13848.1	Opsin-5 [Daphnia magna]	3.97e-31
BBH84662.1	opsin-5B [Ambigolimax valentianus]	3.34e-30
XP_007887943.1	PREDICTED: pinopsin-like [Callorhinchus milii]	1.14e-29
EOB06231.1	Opsin-5, partial [Anas platyrhynchos]	1.45e-29
XP_026050922.1	opsin-5-like [Carassius auratus]	1.71e-29
XP_035176557.1	opsin-5-like [Oxyura jamaicensis]	2.45e-29
XP_028577710.1	opsin-5-like [Podarcis muralis]	2.83e-29
XP_028572558.1	opsin-5-like [Podarcis muralis]	3.02e-29
KTG31345.1	hypothetical protein cypCar_00026100 [Cyprinus carpio]	3.38e-29
XP_005013003.2	opsin-5 [Anas platyrhynchos]	3.42e-29
XP_028577709.1	opsin-5-like [Podarcis muralis]	3.76e-29
XP_005425018.1	opsin-5-like [Geospiza fortis]	4.07e-29
XP_033873901.2	opsin-5-like [Acipenser ruthenus]	4.89e-29
XP_018976187.1	PREDICTED: opsin-5-like [Cyprinus carpio]	4.92e-29
KFQ20243.1	Opsin-5, partial [Mesitornis unicolor]	5.55e-29
XP_028577708.1	opsin-5-like [Podarcis muralis]	8.62e-29
KAF1410199.1	Opsin-5, partial [Spheniscus magellanicus]	1.56e-28
XP_031553964.1	melanopsin-like [Actinia tenebrosa]	1.64e-28
XP_013039884.1	PREDICTED: opsin-5-like [Anser cygnoides domesticus]	1.87e-28
XP_030800641.1	opsin-5-like [Camarhynchus parvulus]	1.97e-28
KFQ09245.1	Opsin-5, partial [Leptosomus discolor]	2.30e-28
XP_010192053.1	PREDICTED: opsin-5 [Mesitornis unicolor]	2.33e-28
KAF1501198.1	Opsin-5, partial [Eudyptula minor]	2.35e-28
RUS83771.1	hypothetical protein EGW08_008477, partial [Elysia chlorotica]	2.63e-28
XP_005490445.2	opsin-5 [Zonotrichia albicollis]	2.74e-28
NWI50896.1	OPN5 protein [Calyptomena viridis]	3.18e-28
XP_013400870.1	visual pigment-like receptor peropsin [Lingula anatina]	3.27e-28
KFP91048.1	Opsin-5, partial [Apaloderma vittatum]	3.84e-28
NWH21297.1	OPN5 protein [Grus americana]	3.88e-28
XP_018425859.1	PREDICTED: opsin-5-like [Nanorana parkeri]	4.12e-28
KFR13642.1	Opsin-5, partial [Opisthocomus hoazin]	4.13e-28
KFZ68350.1	Opsin-5, partial [Podiceps cristatus]	4.53e-28
KFV70963.1	Opsin-5, partial [Picoides pubescens]	5.42e-28
NWJ01663.1	OPN5 protein [Crypturellus undulatus]	5.65e-28
XP_026793806.1	teleost multiple tissue opsin b isoform X1 [Pangasianodon hypophthalmus]	5.96e-28
XP_010775483.1	PREDICTED: pinopsin-like [Notothenia coriiceps]	6.15e-28
XP_009947346.1	PREDICTED: opsin-5-like [Leptosomus discolor]	6.40e-28
KFP46636.1	Opsin-5, partial [Cathartes aura]	6.53e-28
XP_026701420.1	opsin-5-like isoform X2 [Athene cunicularia]	6.68e-28
KFP05470.1	Opsin-5, partial [Calypte anna]	7.10e-28
KFM14009.1	Opsin-5, partial [Aptenodytes forsteri]	7.25e-28
XP_009701745.1	PREDICTED: LOW QUALITY PROTEIN: opsin-5 [Cariama cristata]	8.13e-28
XP_021382925.1	opsin-5 [Lonchura striata domestica]	8.40e-28
KFO07549.1	Opsin-5, partial [Balearica regulorum gibbericeps]	9.78e-28
KFQ17558.1	Opsin-5, partial [Merops nubicus]	1.03e-27
XP_016086352.1	PREDICTED: opsin-5-like [Sinocyclocheilus grahami]	1.05e-27
KAF1527133.1	Opsin-5, partial [Eudyptes sclateri]	1.07e-27
TNN73273.1	Opsin-5 [Liparis tanakae]	1.08e-27
XP_018941590.1	PREDICTED: opsin-5-like [Cyprinus carpio]	1.08e-27
KGL88685.1	Opsin-5, partial [Charadrius vociferus]	1.09e-27
KFZ48032.1	Opsin-5, partial [Antrostomus carolinensis]	1.12e-27
NWH48362.1	OPN5 protein [Fregata magnificens]	1.14e-27
XP_009936498.1	PREDICTED: opsin-5-like [Opisthocomus hoazin]	1.17e-27
XP_009903596.1	PREDICTED: opsin-5-like [Picoides pubescens]	1.22e-27
KFW64087.1	Opsin-5, partial [Pygoscelis adeliae]	1.25e-27
KAF1565829.1	Opsin-5, partial [Eudyptes schlegeli]	1.27e-27
KAF1438237.1	Opsin-5, partial [Pygoscelis papua]	1.36e-27
XP_004915005.1	opsin-5 [Xenopus tropicalis]	1.36e-27
XP_009872171.1	PREDICTED: opsin-5-like [Apaloderma vittatum]	1.39e-27
NWI93669.1	OPN5 protein [Pitta sordida]	1.41e-27
KFO70814.1	Opsin-5, partial [Cuculus canorus]	1.44e-27
ASM47591.1	xenopsin1 [Owenia fusiformis]	1.45e-27
XP_028652099.1	opsin-5-like [Erpetoichthys calabaricus]	1.49e-27
XP_026701419.1	opsin-5-like isoform X1 [Athene cunicularia]	1.51e-27
KFV39647.1	Opsin-5, partial [Tyto alba]	1.53e-27
KGL83468.1	Opsin-5, partial [Tinamus guttatus]	1.54e-27
OCT79072.1	hypothetical protein XELAEV_18030168mg [Xenopus laevis]	1.56e-27
NWI63469.1	OPN5 protein [Todus mexicanus]	1.59e-27
XP_025949649.1	opsin-5-like [Dromaius novaehollandiae]	1.63e-27
XP_025899380.1	opsin-5-like [Nothoprocta perdicaria]	1.79e-27
XP_016329734.1	PREDICTED: opsin-5-like [Sinocyclocheilus anshuiensis]	1.82e-27
XP_013803769.1	PREDICTED: opsin-5-like [Apteryx mantelli mantelli]	1.82e-27
NWI30803.1	OPN5 protein [Sula dactylatra]	1.91e-27
XP_009287241.1	PREDICTED: opsin-5 [Aptenodytes forsteri]	1.96e-27
APB88013.1	neuropsin-like protein [Argopecten irradians]	2.05e-27
KAF1658916.1	Opsin-5, partial [Aptenodytes patagonicus]	2.15e-27
KFQ59618.1	Opsin-5, partial [Pelecanus crispus]	2.17e-27
XP_018121490.1	PREDICTED: opsin-5-like [Xenopus laevis]	2.27e-27
XP_033747186.1	opsin-5-like [Pecten maximus]	2.28e-27
KFQ99204.1	Opsin-5, partial [Nipponia nippon]	2.33e-27
XP_030303449.1	opsin-5 [Calypte anna]	2.49e-27
KFV77812.1	Opsin-5, partial [Struthio camelus australis]	2.60e-27
KAF1468725.1	Opsin-5, partial [Megadyptes antipodes antipodes]	2.62e-27
XP_026793808.1	teleost multiple tissue opsin b isoform X3 [Pangasianodon hypophthalmus]	2.70e-27
KFV03981.1	Opsin-5, partial [Pterocles gutturalis]	2.70e-27
XP_018119570.1	PREDICTED: opsin-5-like [Xenopus laevis]	2.70e-27
XP_013419317.1	visual pigment-like receptor peropsin [Lingula anatina]	2.71e-27
XP_009894205.1	PREDICTED: opsin-5 [Charadrius vociferus]	2.76e-27
KFV19129.1	Opsin-5, partial [Tauraco erythrolophus]	2.86e-27
XP_005239268.1	opsin-5-like [Falco peregrinus]	2.89e-27
XP_027664512.1	LOW QUALITY PROTEIN: opsin-5-like [Falco cherrug]	3.03e-27
XP_009477730.1	PREDICTED: opsin-5 [Pelecanus crispus]	3.08e-27
RLW12326.1	hypothetical protein DV515_00000618 [Erythrura gouldiae]	3.10e-27
XP_014813681.1	PREDICTED: opsin-5-like [Calidris pugnax]	3.25e-27
KFV51996.1	Opsin-5, partial [Gavia stellata]	3.32e-27
XP_008933559.1	PREDICTED: opsin-5 [Merops nubicus]	3.36e-27
XP_006637696.1	PREDICTED: pinopsin-like [Lepisosteus oculatus]	3.39e-27
KFQ43924.1	Opsin-5, partial [Nestor notabilis]	3.54e-27
NWI78326.1	OPN5 protein [Dryoscopus gambensis]	3.58e-27
