XP_013052505.1	PREDICTED: green-sensitive opsin [Anser cygnoides domesticus]	5.30e-26
XP_784559.2	rhodopsin, GQ-coupled-like [Strongylocentrotus purpuratus]	6.66e-25
XP_005992235.1	PREDICTED: melanopsin [Latimeria chalumnae]	6.19e-24
XP_032798053.1	melanopsin-like [Daphnia magna]	1.02e-23
XP_029986405.1	melanopsin-A-like [Sphaeramia orbicularis]	1.59e-23
XP_026798225.1	melanopsin-A isoform X3 [Pangasianodon hypophthalmus]	6.47e-23
XP_028991161.1	melanopsin-A-like isoform X2 [Betta splendens]	8.05e-23
XP_028991160.1	melanopsin-A-like isoform X1 [Betta splendens]	9.55e-23
XP_034158954.1	melanopsin-A isoform X1 [Pangasianodon hypophthalmus]	1.01e-22
XP_034158955.1	melanopsin-A isoform X2 [Pangasianodon hypophthalmus]	1.40e-22
XP_027030846.1	melanopsin isoform X2 [Tachysurus fulvidraco]	1.47e-22
XP_030258984.1	melanopsin-like [Sparus aurata]	2.31e-22
XP_027030845.1	melanopsin isoform X1 [Tachysurus fulvidraco]	2.87e-22
XP_013880175.1	PREDICTED: parapinopsin-like isoform X1 [Austrofundulus limnaeus]	2.99e-22
XP_017318327.1	PREDICTED: melanopsin [Ictalurus punctatus]	4.64e-22
XP_023264799.1	melanopsin-like [Seriola lalandi dorsalis]	6.80e-22
XP_026207403.1	melanopsin-A-like [Anabas testudineus]	6.83e-22
NP_001187193.1	opsin 4b [Ictalurus punctatus]	7.11e-22
XP_007258812.1	melanopsin [Astyanax mexicanus]	7.68e-22
XP_023275009.1	melanopsin-like, partial [Seriola lalandi dorsalis]	7.70e-22
XP_020379056.1	melanopsin-A-like, partial [Rhincodon typus]	7.92e-22
XP_009168078.1	hypothetical protein T265_04946 [Opisthorchis viverrini]	9.68e-22
XP_035255621.1	melanopsin-A [Anguilla anguilla]	1.04e-21
XP_029701123.1	melanopsin-A-like isoform X1 [Takifugu rubripes]	1.10e-21
XP_022604351.1	melanopsin [Seriola dumerili]	1.14e-21
XP_029701131.1	melanopsin-A-like isoform X2 [Takifugu rubripes]	1.15e-21
XP_022622107.1	melanopsin-like [Seriola dumerili]	1.19e-21
XP_023264333.1	melanopsin-A-like isoform X2 [Seriola lalandi dorsalis]	1.25e-21
XP_023264332.1	melanopsin-A-like isoform X1 [Seriola lalandi dorsalis]	1.29e-21
XP_018608561.2	melanopsin-A-like [Scleropages formosus]	1.29e-21
XP_030608659.1	melanopsin-like [Archocentrus centrarchus]	1.45e-21
XP_015796120.1	PREDICTED: melanopsin-A-like [Nothobranchius furzeri]	1.47e-21
XP_026771261.1	opsin 4b isoform X1 [Pangasianodon hypophthalmus]	1.91e-21
XP_018621664.2	melanopsin [Scleropages formosus]	1.93e-21
XP_035002614.1	melanopsin-A-like isoform X2 [Hippoglossus stenolepis]	2.31e-21
XP_022192621.1	rhodopsin, GQ-coupled-like [Nilaparvata lugens]	2.49e-21
XP_017558322.1	PREDICTED: melanopsin-A-like [Pygocentrus nattereri]	2.77e-21
XP_035002613.1	melanopsin-A-like isoform X1 [Hippoglossus stenolepis]	2.81e-21
XP_006767983.1	PREDICTED: melanopsin [Myotis davidii]	2.98e-21
XP_019966019.1	PREDICTED: melanopsin-A-like [Paralichthys olivaceus]	3.01e-21
XP_028832494.1	melanopsin-like [Denticeps clupeoides]	3.11e-21
XP_026171325.1	melanopsin-A-like [Mastacembelus armatus]	3.26e-21
NP_001279045.1	melanopsin [Callorhinchus milii]	3.35e-21
XP_028915702.1	melanopsin [Ornithorhynchus anatinus]	3.36e-21
XP_026792997.1	melanopsin-like [Pangasianodon hypophthalmus]	3.62e-21
XP_018534620.1	PREDICTED: melanopsin-like [Lates calcarifer]	3.88e-21
XP_034408084.1	melanopsin-A-like [Cyclopterus lumpus]	4.07e-21
NP_001274335.1	melanopsin-like [Haplochromis burtoni]	4.22e-21
XP_022526048.1	melanopsin-A-like [Astyanax mexicanus]	4.51e-21
XP_031597967.1	melanopsin-like [Oreochromis aureus]	4.53e-21
XP_005752608.1	PREDICTED: melanopsin-like [Pundamilia nyererei]	4.60e-21
XP_004572496.2	melanopsin [Maylandia zebra]	5.25e-21
XP_034426624.1	melanopsin-A-like isoform X2 [Hippoglossus hippoglossus]	5.34e-21
XP_026005441.1	melanopsin-like [Astatotilapia calliptera]	5.36e-21
XP_019938309.1	PREDICTED: melanopsin-A-like isoform X2 [Paralichthys olivaceus]	5.49e-21
XP_019938308.1	PREDICTED: melanopsin-A-like isoform X1 [Paralichthys olivaceus]	5.61e-21
XP_034426623.1	melanopsin-A-like isoform X1 [Hippoglossus hippoglossus]	5.89e-21
XP_035208317.1	melanopsin-like, partial [Stegodyphus dumicola]	6.10e-21
XP_029927119.1	melanopsin isoform X1 [Myripristis murdjan]	6.92e-21
XP_029970508.1	melanopsin-like [Salarias fasciatus]	6.95e-21
XP_028012737.1	melanopsin [Eptesicus fuscus]	7.42e-21
XP_034083261.1	melanopsin-A-like isoform X2 [Gymnodraco acuticeps]	8.69e-21
XP_028279792.1	melanopsin-A-like [Parambassis ranga]	9.06e-21
XP_033798843.1	melanopsin [Geotrypetes seraphini]	9.76e-21
XP_024280403.1	melanopsin [Oncorhynchus tshawytscha]	1.03e-20
XP_029383684.1	melanopsin-A-like isoform X3 [Echeneis naucrates]	1.04e-20
XP_019352616.1	PREDICTED: LOW QUALITY PROTEIN: melanopsin [Alligator mississippiensis]	1.04e-20
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	1.04e-20
XP_013410035.1	visual pigment-like receptor peropsin [Lingula anatina]	2.92e-08
XP_032798047.1	rhodopsin-like [Daphnia magna]	1.14e-20
XP_035028242.1	melanopsin-A-like isoform X2 [Hippoglossus stenolepis]	1.24e-20
XP_035028241.1	melanopsin-A-like isoform X1 [Hippoglossus stenolepis]	1.32e-20
XP_016296075.1	PREDICTED: melanopsin-B-like [Sinocyclocheilus anshuiensis]	1.39e-20
XP_034463813.1	melanopsin-A isoform X2 [Hippoglossus hippoglossus]	1.48e-20
XP_034463812.1	melanopsin-A isoform X1 [Hippoglossus hippoglossus]	1.50e-20
XP_028368537.1	LOW QUALITY PROTEIN: melanopsin [Phyllostomus discolor]	1.55e-20
XP_027702180.1	melanopsin isoform X4 [Vombatus ursinus]	1.67e-20
XP_003458177.1	melanopsin [Oreochromis niloticus]	1.67e-20
XP_031733209.1	melanopsin-A-like isoform X2 [Anarrhichthys ocellatus]	1.69e-20
XP_018516250.1	PREDICTED: melanopsin-A-like [Lates calcarifer]	1.70e-20
XP_021355729.1	rhodopsin, G0-coupled [Mizuhopecten yessoensis]	1.72e-20
XP_027702179.1	melanopsin isoform X3 [Vombatus ursinus]	1.77e-20
XP_034041403.1	LOW QUALITY PROTEIN: melanopsin-A [Thalassophryne amazonica]	1.78e-20
XP_033840920.1	melanopsin-A-like [Periophthalmus magnuspinnatus]	1.89e-20
XP_020850383.1	LOW QUALITY PROTEIN: melanopsin [Phascolarctos cinereus]	1.95e-20
XP_009705848.1	PREDICTED: melanopsin-A-like [Cariama cristata]	2.02e-20
XP_020779731.1	melanopsin-A-like, partial [Boleophthalmus pectinirostris]	2.04e-20
XP_019749306.1	PREDICTED: melanopsin-A-like [Hippocampus comes]	2.07e-20
XP_020481825.2	melanopsin [Labrus bergylta]	2.09e-20
XP_027702174.1	melanopsin isoform X1 [Vombatus ursinus]	2.11e-20
XP_027702181.1	melanopsin isoform X5 [Vombatus ursinus]	2.12e-20
XP_027702175.1	melanopsin isoform X2 [Vombatus ursinus]	2.12e-20
XP_017571373.1	PREDICTED: melanopsin-A-like [Pygocentrus nattereri]	2.17e-20
XP_029934536.1	melanopsin-like [Myripristis murdjan]	2.31e-20
XP_023126353.1	LOW QUALITY PROTEIN: melanopsin-like [Amphiprion ocellaris]	2.36e-20
